bin,low,high,numu_flux,numubar_flux,nue_flux,nuebar_flux
97,4.8500000000000005,4.9,2248527.578737259,195055.58914661407,62849.962119817734,22863.726618528366
98,4.9,4.95,2057340.21454525,157349.59350585938,53519.549050569534,19083.263816595078
99,4.95,5.0,1970899.3626642227,178010.35239124298,54809.01874804497,19571.27131175995
100,5.0,5.050000000000001,1920613.466375351,191217.01502418518,52109.97279596329,18021.068650484085
101,5.050000000000001,5.1000000000000005,1737060.3044099808,110013.58962059021,51236.13823533058,17905.33007454872
102,5.1000000000000005,5.15,1782896.6187429428,170986.1394443512,48444.2609975338,17593.039787769318
103,5.15,5.2,1677782.6113996506,148148.26327705383,48483.693393707275,17652.825242996216
104,5.2,5.25,1646490.8489294052,210074.4454021454,44537.02857089043,15901.18028473854
105,5.25,5.300000000000001,1569074.7388038635,114401.69036483765,43254.60716843605,17752.73693752289
106,5.300000000000001,5.3500000000000005,1545191.7452487946,98116.00220108032,41598.86477184296,16331.503935098648
107,5.3500000000000005,5.4,1457815.80610466,138415.7777557373,38973.31135439873,12912.842565059662
108,5.4,5.45,1452327.465789795,155776.46264076233,38850.64536857605,14252.869492053986
109,5.45,5.5,1319320.0365028381,111957.67993736267,32119.509957790375,10840.34664773941
110,5.5,5.550000000000001,1333984.3083324432,112647.04008102417,34202.70803642273,12532.637265920639
111,5.550000000000001,5.6000000000000005,1323002.5449295044,123797.06009674072,32297.683017253876,11985.363154411316
112,5.6000000000000005,5.65,1251350.574163437,141948.2177066803,33235.662847042084,12651.110906124115
113,5.65,5.7,1179323.3524417877,167030.56937408447,31077.64458632469,12392.15510225296
114,5.7,5.75,1193256.3896121979,113822.97915649414,28805.760138988495,11369.63825249672
115,5.75,5.800000000000001,1126616.4373455048,101573.1625213623,29719.40512228012,11220.286335468292
116,5.800000000000001,5.8500000000000005,1123492.488494873,174447.52387809753,25469.690737485886,9501.645921468735
117,5.8500000000000005,5.9,1016268.953464508,106996.53312683105,27645.446892261505,10109.888643026352
118,5.9,5.95,1023828.2992744446,121562.49373245239,27359.086925029755,11074.623938083649
119,5.95,6.0,1002777.8869132996,119461.9279384613,25129.538917541504,9035.457992076874
120,6.0,6.050000000000001,980030.4301013947,84357.7612915039,25526.031761169434,10097.934069633484
