80 40
 0.10000E+02
   2.5   0.000E+00   7.5   0.000E+00  12.5   0.000E+00  17.5   0.401E-08
  22.5   0.251E-08  27.5   0.316E-08  32.5   0.475E-08  37.5   0.599E-08
  42.5   0.508E-08  47.5   0.327E-08  52.5   0.211E-08  57.5   0.133E-08
  62.5   0.903E-09  67.5   0.661E-09  72.5   0.486E-09  77.5   0.384E-09
  82.5   0.304E-09  87.5   0.249E-09  92.5   0.207E-09  97.5   0.174E-09
 102.5   0.147E-09 107.5   0.128E-09 112.5   0.112E-09 117.5   0.980E-10
 122.5   0.000E+00 127.5   0.000E+00 132.5   0.000E+00 137.5   0.000E+00
 142.5   0.000E+00 147.5   0.000E+00 152.5   0.000E+00 157.5   0.000E+00
 162.5   0.000E+00 167.5   0.000E+00 172.5   0.000E+00 177.5   0.000E+00
 182.5   0.000E+00 187.5   0.000E+00 192.5   0.000E+00 197.5   0.000E+00
 202.5   0.000E+00 207.5   0.000E+00 212.5   0.000E+00 217.5   0.000E+00
 222.5   0.000E+00 227.5   0.000E+00 232.5   0.000E+00 237.5   0.000E+00
 242.5   0.000E+00 247.5   0.000E+00 252.5   0.000E+00 257.5   0.000E+00
 262.5   0.000E+00 267.5   0.000E+00 272.5   0.000E+00 277.5   0.000E+00
 282.5   0.000E+00 287.5   0.000E+00 292.5   0.000E+00 297.5   0.000E+00
 302.5   0.000E+00 307.5   0.000E+00 312.5   0.000E+00 317.5   0.000E+00
 322.5   0.000E+00 327.5   0.000E+00 332.5   0.000E+00 337.5   0.000E+00
 342.5   0.000E+00 347.5   0.000E+00 352.5   0.000E+00 357.5   0.000E+00
 362.5   0.000E+00 367.5   0.000E+00 372.5   0.000E+00 377.5   0.000E+00
 382.5   0.000E+00 387.5   0.000E+00 392.5   0.000E+00 397.5   0.000E+00
 0.30000E+02
   2.5   0.000E+00   7.5   0.000E+00  12.5   0.000E+00  17.5   0.696E-08
  22.5   0.325E-08  27.5   0.321E-08  32.5   0.459E-08  37.5   0.569E-08
  42.5   0.486E-08  47.5   0.311E-08  52.5   0.196E-08  57.5   0.126E-08
  62.5   0.859E-09  67.5   0.635E-09  72.5   0.467E-09  77.5   0.367E-09
  82.5   0.292E-09  87.5   0.239E-09  92.5   0.199E-09  97.5   0.169E-09
 102.5   0.144E-09 107.5   0.124E-09 112.5   0.108E-09 117.5   0.955E-10
 122.5   0.000E+00 127.5   0.000E+00 132.5   0.000E+00 137.5   0.000E+00
 142.5   0.000E+00 147.5   0.000E+00 152.5   0.000E+00 157.5   0.000E+00
 162.5   0.000E+00 167.5   0.000E+00 172.5   0.000E+00 177.5   0.000E+00
 182.5   0.000E+00 187.5   0.000E+00 192.5   0.000E+00 197.5   0.000E+00
 202.5   0.000E+00 207.5   0.000E+00 212.5   0.000E+00 217.5   0.000E+00
 222.5   0.000E+00 227.5   0.000E+00 232.5   0.000E+00 237.5   0.000E+00
 242.5   0.000E+00 247.5   0.000E+00 252.5   0.000E+00 257.5   0.000E+00
 262.5   0.000E+00 267.5   0.000E+00 272.5   0.000E+00 277.5   0.000E+00
 282.5   0.000E+00 287.5   0.000E+00 292.5   0.000E+00 297.5   0.000E+00
 302.5   0.000E+00 307.5   0.000E+00 312.5   0.000E+00 317.5   0.000E+00
 322.5   0.000E+00 327.5   0.000E+00 332.5   0.000E+00 337.5   0.000E+00
 342.5   0.000E+00 347.5   0.000E+00 352.5   0.000E+00 357.5   0.000E+00
 362.5   0.000E+00 367.5   0.000E+00 372.5   0.000E+00 377.5   0.000E+00
 382.5   0.000E+00 387.5   0.000E+00 392.5   0.000E+00 397.5   0.000E+00
 0.50000E+02
   2.5   0.000E+00   7.5   0.000E+00  12.5   0.000E+00  17.5   0.107E-07
  22.5   0.411E-08  27.5   0.321E-08  32.5   0.424E-08  37.5   0.515E-08
  42.5   0.440E-08  47.5   0.281E-08  52.5   0.175E-08  57.5   0.114E-08
  62.5   0.783E-09  67.5   0.578E-09  72.5   0.430E-09  77.5   0.338E-09
  82.5   0.270E-09  87.5   0.220E-09  92.5   0.184E-09  97.5   0.157E-09
 102.5   0.134E-09 107.5   0.115E-09 112.5   0.101E-09 117.5   0.894E-10
 122.5   0.000E+00 127.5   0.000E+00 132.5   0.000E+00 137.5   0.000E+00
 142.5   0.000E+00 147.5   0.000E+00 152.5   0.000E+00 157.5   0.000E+00
 162.5   0.000E+00 167.5   0.000E+00 172.5   0.000E+00 177.5   0.000E+00
 182.5   0.000E+00 187.5   0.000E+00 192.5   0.000E+00 197.5   0.000E+00
 202.5   0.000E+00 207.5   0.000E+00 212.5   0.000E+00 217.5   0.000E+00
 222.5   0.000E+00 227.5   0.000E+00 232.5   0.000E+00 237.5   0.000E+00
 242.5   0.000E+00 247.5   0.000E+00 252.5   0.000E+00 257.5   0.000E+00
 262.5   0.000E+00 267.5   0.000E+00 272.5   0.000E+00 277.5   0.000E+00
 282.5   0.000E+00 287.5   0.000E+00 292.5   0.000E+00 297.5   0.000E+00
 302.5   0.000E+00 307.5   0.000E+00 312.5   0.000E+00 317.5   0.000E+00
 322.5   0.000E+00 327.5   0.000E+00 332.5   0.000E+00 337.5   0.000E+00
 342.5   0.000E+00 347.5   0.000E+00 352.5   0.000E+00 357.5   0.000E+00
 362.5   0.000E+00 367.5   0.000E+00 372.5   0.000E+00 377.5   0.000E+00
 382.5   0.000E+00 387.5   0.000E+00 392.5   0.000E+00 397.5   0.000E+00
 0.70000E+02
   2.5   0.000E+00   7.5   0.000E+00  12.5   0.000E+00  17.5   0.147E-07
  22.5   0.489E-08  27.5   0.311E-08  32.5   0.372E-08  37.5   0.440E-08
  42.5   0.375E-08  47.5   0.240E-08  52.5   0.150E-08  57.5   0.989E-09
  62.5   0.682E-09  67.5   0.499E-09  72.5   0.378E-09  77.5   0.298E-09
  82.5   0.237E-09  87.5   0.194E-09  92.5   0.163E-09  97.5   0.138E-09
 102.5   0.120E-09 107.5   0.102E-09 112.5   0.903E-10 117.5   0.795E-10
 122.5   0.000E+00 127.5   0.000E+00 132.5   0.000E+00 137.5   0.000E+00
 142.5   0.000E+00 147.5   0.000E+00 152.5   0.000E+00 157.5   0.000E+00
 162.5   0.000E+00 167.5   0.000E+00 172.5   0.000E+00 177.5   0.000E+00
 182.5   0.000E+00 187.5   0.000E+00 192.5   0.000E+00 197.5   0.000E+00
 202.5   0.000E+00 207.5   0.000E+00 212.5   0.000E+00 217.5   0.000E+00
 222.5   0.000E+00 227.5   0.000E+00 232.5   0.000E+00 237.5   0.000E+00
 242.5   0.000E+00 247.5   0.000E+00 252.5   0.000E+00 257.5   0.000E+00
 262.5   0.000E+00 267.5   0.000E+00 272.5   0.000E+00 277.5   0.000E+00
 282.5   0.000E+00 287.5   0.000E+00 292.5   0.000E+00 297.5   0.000E+00
 302.5   0.000E+00 307.5   0.000E+00 312.5   0.000E+00 317.5   0.000E+00
 322.5   0.000E+00 327.5   0.000E+00 332.5   0.000E+00 337.5   0.000E+00
 342.5   0.000E+00 347.5   0.000E+00 352.5   0.000E+00 357.5   0.000E+00
 362.5   0.000E+00 367.5   0.000E+00 372.5   0.000E+00 377.5   0.000E+00
