80 40
 0.10000E+02
  22.5   0.114E-09  27.5   0.728E-10  32.5   0.753E-10  37.5   0.100E-09
  42.5   0.778E-10  47.5   0.516E-10  52.5   0.387E-10  57.5   0.294E-10
  62.5   0.215E-10  67.5   0.156E-10  72.5   0.122E-10  77.5   0.100E-10
  82.5   0.853E-11  87.5   0.738E-11  92.5   0.646E-11  97.5   0.574E-11
 102.5   0.506E-11 107.5   0.452E-11 112.5   0.402E-11 117.5   0.349E-11
 122.5   0.635E-11 127.5   0.492E-11 132.5   0.391E-11 137.5   0.309E-11
 142.5   0.230E-11 147.5   0.170E-11 152.5   0.126E-11 157.5   0.913E-12
 162.5   0.646E-12 167.5   0.441E-12 172.5   0.283E-12 177.5   0.162E-12
 182.5   0.765E-13 187.5   0.262E-13 192.5   0.377E-14 197.5   0.183E-17
 202.5   0.000E+00 207.5   0.000E+00 212.5   0.000E+00 217.5   0.000E+00
 222.5   0.000E+00 227.5   0.000E+00 232.5   0.000E+00 237.5   0.000E+00
 242.5   0.000E+00 247.5   0.000E+00 252.5   0.000E+00 257.5   0.000E+00
 262.5   0.000E+00 267.5   0.000E+00 272.5   0.000E+00 277.5   0.000E+00
 282.5   0.520E-18 287.5   0.375E-19 292.5   0.000E+00 297.5   0.000E+00
 302.5   0.000E+00 307.5   0.000E+00 312.5   0.000E+00 317.5   0.000E+00
 322.5   0.000E+00 327.5   0.000E+00 332.5   0.000E+00 337.5   0.000E+00
 342.5   0.000E+00 347.5   0.000E+00 352.5   0.000E+00 357.5   0.000E+00
 362.5   0.000E+00 367.5   0.000E+00 372.5   0.000E+00 377.5   0.000E+00
 382.5   0.000E+00 387.5   0.000E+00 392.5   0.000E+00 397.5   0.000E+00
 0.90000E+02
   2.5   0.000E+00   7.5   0.000E+00  12.5   0.000E+00  17.5   0.150E-09
  22.5   0.194E-09  27.5   0.125E-09  32.5   0.843E-10  37.5   0.634E-10
  42.5   0.526E-10  47.5   0.452E-10  52.5   0.377E-10  57.5   0.302E-10
  62.5   0.234E-10  67.5   0.179E-10  72.5   0.141E-10  77.5   0.114E-10
  82.5   0.950E-11  87.5   0.803E-11  92.5   0.688E-11  97.5   0.604E-11
 102.5   0.521E-11 107.5   0.442E-11 112.5   0.382E-11 117.5   0.334E-11
 122.5   0.635E-11 127.5   0.517E-11 132.5   0.428E-11 137.5   0.350E-11
 142.5   0.282E-11 147.5   0.222E-11 152.5   0.171E-11 157.5   0.128E-11
 162.5   0.924E-12 167.5   0.680E-12 172.5   0.494E-12 177.5   0.341E-12
 182.5   0.213E-12 187.5   0.113E-12 192.5   0.484E-13 197.5   0.126E-13
 202.5   0.000E+00 207.5   0.000E+00 212.5   0.000E+00 217.5   0.590E-18
 222.5   0.000E+00 227.5   0.000E+00 232.5   0.000E+00 237.5   0.000E+00
 242.5   0.000E+00 247.5   0.000E+00 252.5   0.000E+00 257.5   0.000E+00
 262.5   0.000E+00 267.5   0.000E+00 272.5   0.000E+00 277.5   0.000E+00
 282.5   0.401E-18 287.5   0.290E-19 292.5   0.000E+00 297.5   0.000E+00
 302.5   0.000E+00 307.5   0.000E+00 312.5   0.000E+00 317.5   0.000E+00
 322.5   0.000E+00 327.5   0.000E+00 332.5   0.000E+00 337.5   0.000E+00
 342.5   0.000E+00 347.5   0.000E+00 352.5   0.000E+00 357.5   0.000E+00
 362.5   0.000E+00 367.5   0.000E+00 372.5   0.000E+00 377.5   0.000E+00
 382.5   0.000E+00 387.5   0.000E+00 392.5   0.000E+00 397.5   0.000E+00
 0.11000E+03
   2.5   0.000E+00   7.5   0.000E+00  12.5   0.000E+00  17.5   0.146E-09
  22.5   0.178E-09  27.5   0.114E-09  32.5   0.738E-10  37.5   0.556E-10
  42.5   0.471E-10  47.5   0.412E-10  52.5   0.354E-10  57.5   0.302E-10
  62.5   0.246E-10  67.5   0.199E-10  72.5   0.165E-10  77.5   0.138E-10
  82.5   0.118E-10  87.5   0.103E-10  92.5   0.878E-11  97.5   0.746E-11
 102.5   0.644E-11 107.5   0.554E-11 112.5   0.469E-11 117.5   0.397E-11
 122.5   0.765E-11 127.5   0.641E-11 132.5   0.526E-11 137.5   0.433E-11
 142.5   0.357E-11 147.5   0.289E-11 152.5   0.227E-11 157.5   0.176E-11
 162.5   0.136E-11 167.5   0.104E-11 172.5   0.782E-12 177.5   0.563E-12
 182.5   0.399E-12 187.5   0.274E-12 192.5   0.187E-12 197.5   0.126E-12
 202.5   0.913E-13 207.5   0.726E-13 212.5   0.590E-13 217.5   0.473E-13
 222.5   0.377E-13 227.5   0.303E-13 232.5   0.247E-13 237.5   0.198E-13
 242.5   0.156E-13 247.5   0.120E-13 252.5   0.890E-14 257.5   0.629E-14
 262.5   0.409E-14 267.5   0.225E-14 272.5   0.805E-15 277.5   0.918E-16
 282.5   0.000E+00 287.5   0.000E+00 292.5   0.000E+00 297.5   0.000E+00
 302.5   0.000E+00 307.5   0.000E+00 312.5   0.000E+00 317.5   0.000E+00
 322.5   0.000E+00 327.5   0.000E+00 332.5   0.000E+00 337.5   0.000E+00
 342.5   0.000E+00 347.5   0.000E+00 352.5   0.000E+00 357.5   0.000E+00
 362.5   0.000E+00 367.5   0.000E+00 372.5   0.000E+00 377.5   0.000E+00
