   K        RHOKS         RHOKD        RHOK
  7.2      5.9586E-7   1.2835E-8      6.087E-7
  7.25     4.3015E-7   3.0966E-9      4.3324E-7
  7.3      3.0011E-7   7.0368E-12     3.0012E-7
  7.35     1.9815E-7   2.119E-9       2.0027E-7
  7.4      1.2327E-7   8.1986E-9      1.3147E-7
  7.45     6.8633E-8   1.7225E-8      8.5857E-8
  7.5      3.2171E-8   2.8321E-8      6.0492E-8
  7.55     1.0672E-8   4.0761E-8      5.1434E-8
  7.6      9.7076E-10  5.3983E-8      5.4954E-8
  7.65     1.1513E-9   6.7456E-8      6.8607E-8
  7.7      9.0857E-9   8.0838E-8      8.9924E-8
  7.75     2.3008E-8   9.3798E-8      1.1681E-7
  7.8      4.11E-8     1.0609E-7      1.4718E-7
  7.85     6.3036E-8   1.1757E-7      1.8061E-7
  7.9      8.6249E-8   1.2805E-7      2.143E-7
  7.95     1.1129E-7   1.3751E-7      2.488E-7
  8        1.367E-7    1.4586E-7      2.8255E-7
  8.05     1.6125E-7   1.5306E-7      3.1431E-7
  8.1      1.8635E-7   1.5917E-7      3.4551E-7
  8.15     2.0901E-7   1.6412E-7      3.7314E-7
  8.2      2.3116E-7   1.6803E-7      3.9919E-7
  8.25     2.5164E-7   1.7091E-7      4.2254E-7
  8.3      2.694E-7    1.7278E-7      4.4218E-7
  8.35     2.8676E-7   1.7378E-7      4.6054E-7
  8.4      3.006E-7    1.7389E-7      4.7449E-7
  8.45     3.1336E-7   1.7323E-7      4.866E-7
  8.5      3.2419E-7   1.7187E-7      4.9606E-7
  8.55     3.3202E-7   1.6983E-7      5.0185E-7
  8.6      3.3955E-7   1.6725E-7      5.068E-7
  8.65     3.4373E-7   1.6413E-7      5.0786E-7
  8.7      3.4703E-7   1.6058E-7      5.076E-7
  8.75     3.4886E-7   1.5664E-7      5.055E-7
  8.8      3.4807E-7   1.5235E-7      5.0043E-7
  8.85     3.4746E-7   1.4782E-7      4.9529E-7
  8.9      3.4413E-7   1.4304E-7      4.8717E-7
  8.95     3.4035E-7   1.381E-7       4.7845E-7
  9        3.3576E-7   1.3303E-7      4.6879E-7
  9.05     3.2914E-7   1.2784E-7      4.5698E-7
  9.1      3.2315E-7   1.2263E-7      4.4579E-7
  9.15     3.1518E-7   1.1738E-7      4.3256E-7
  9.2      3.0715E-7   1.1214E-7      4.1929E-7
  9.25     2.9891E-7   1.0694E-7      4.0585E-7
  9.3      2.892E-7    1.0178E-7      3.9097E-7
  9.35     2.8044E-7   9.6721E-8      3.7716E-7
  9.4      2.7035E-7   9.1739E-8      3.6209E-7
  9.45     2.6048E-7   8.6877E-8      3.4736E-7
  9.5      2.5083E-7   8.2145E-8      3.3297E-7
  9.55     2.4016E-7   7.7532E-8      3.1769E-7
  9.6      2.3062E-7   7.3084E-8      3.037E-7
  9.65     2.2023E-7   6.8771E-8      2.89E-7
  9.7      2.1023E-7   6.4621E-8      2.7485E-7
  9.75     2.007E-7    6.0638E-8      2.6134E-7
  9.8      1.905E-7    5.6804E-8      2.473E-7
  9.85     1.8144E-7   5.315E-8       2.3459E-7
  9.9      1.7189E-7   4.965E-8       2.2154E-7
  9.95     1.6278E-7   4.6317E-8      2.091E-7
 10        1.5427E-7   4.3153E-8      1.9743E-7
