   K     RHOKS_109     RHOKD_109     RHOK_109
 12.7     3.1802E-10  4.1193E-11     3.5921E-10
 12.8     2.122E-10   6.5153E-11     2.7735E-10
 12.9     1.3279E-10  8.8649E-11     2.2144E-10
 13       7.595E-11   1.0965E-10     1.856E-10
 13.1     3.7808E-11  1.2687E-10     1.6468E-10
 13.2     1.4657E-11  1.3962E-10     1.5427E-10
 13.3     3.0755E-12  1.4767E-10     1.5075E-10
 13.4     6.2585E-15  1.5117E-10     1.5117E-10
 13.5     2.8101E-12  1.505E-10      1.5331E-10
 13.6     9.2815E-12  1.4623E-10     1.5551E-10
 13.7     1.7642E-11  1.3901E-10     1.5666E-10
 13.8     2.6517E-11  1.2953E-10     1.5605E-10
 13.9     3.4897E-11  1.1844E-10     1.5334E-10
 14       4.2091E-11  1.0638E-10     1.4847E-10
 14.1     4.7683E-11  9.3894E-11     1.4158E-10
 14.2     5.1476E-11  8.1459E-11     1.3293E-10
 14.3     5.3447E-11  6.9454E-11     1.229E-10
 14.4     5.3702E-11  5.8173E-11     1.1188E-10
 14.5     5.2438E-11  4.783E-11      1.0027E-10
 14.6     4.9905E-11  3.856E-11      8.8465E-11
 14.7     4.6381E-11  3.0432E-11     7.6813E-11
 14.8     4.2148E-11  2.3459E-11     6.5607E-11
 14.9     3.7475E-11  1.7608E-11     5.5083E-11
 15       3.2605E-11  1.2815E-11     4.542E-11
 15.1     2.7749E-11  8.9886E-12     3.6737E-11
 15.2     2.3078E-11  6.0225E-12     2.91E-11
 15.3     1.8727E-11  3.802E-12      2.2529E-11
 15.4     1.4791E-11  2.211E-12      1.7002E-11
 15.5     1.1331E-11  1.1365E-12     1.2467E-11
 15.6     8.3757E-12  4.726E-13      8.8483E-12
 15.7     5.9293E-12  1.2304E-13     6.0523E-12
 15.8     3.9733E-12  3.046E-15      3.9763E-12
 15.9     2.4732E-12  4.019E-14      2.5134E-12
 16       1.3829E-12  1.7453E-13     1.5575E-12
 16.1     6.4906E-13  3.5817E-13     1.0072E-12
