    W        Theta    pip-p
 1440.0000  120.0000  0.3814E+00
 1440.0000  130.0000  0.3917E+00
 1440.0000  140.0000  0.4082E+00
 1440.0000  150.0000  0.4197E+00
 1440.0000  160.0000  0.4219E+00
 1440.0000  170.0000  0.4180E+00
 1440.0000  179.9000  0.4154E+00
 1450.0000    0.1000  0.1265E+01
 1450.0000   10.0000  0.1256E+01
 1450.0000   20.0000  0.1228E+01
 1450.0000   30.0000  0.1178E+01
 1450.0000   40.0000  0.1107E+01
 1450.0000   50.0000  0.1014E+01
 1450.0000   60.0000  0.8987E+00
 1450.0000   70.0000  0.7661E+00
 1450.0000   80.0000  0.6284E+00
 1450.0000   90.0000  0.5064E+00
 1450.0000  100.0000  0.4197E+00
 1450.0000  110.0000  0.3761E+00
 1450.0000  120.0000  0.3685E+00
 1450.0000  130.0000  0.3820E+00
 1450.0000  140.0000  0.4009E+00
 1450.0000  150.0000  0.4135E+00
 1450.0000  160.0000  0.4154E+00
 1450.0000  170.0000  0.4107E+00
 1450.0000  179.9000  0.4078E+00
 1460.0000    0.1000  0.1208E+01
 1460.0000   10.0000  0.1202E+01
 1460.0000   20.0000  0.1182E+01
 1460.0000   30.0000  0.1143E+01
 1460.0000   40.0000  0.1081E+01
 1460.0000   50.0000  0.9952E+00
 1460.0000   60.0000  0.8841E+00
 1460.0000   70.0000  0.7518E+00
 1460.0000   80.0000  0.6119E+00
 1460.0000   90.0000  0.4876E+00
 1460.0000  100.0000  0.4005E+00
 1460.0000  110.0000  0.3588E+00
 1460.0000  120.0000  0.3548E+00
 1460.0000  130.0000  0.3718E+00
 1460.0000  140.0000  0.3930E+00
 1460.0000  150.0000  0.4064E+00
 1460.0000  160.0000  0.4079E+00
 1460.0000  170.0000  0.4022E+00
 1460.0000  179.9000  0.3988E+00
 1470.0000    0.1000  0.1150E+01
 1470.0000   10.0000  0.1147E+01
 1470.0000   20.0000  0.1135E+01
 1470.0000   30.0000  0.1106E+01
 1470.0000   40.0000  0.1054E+01
 1470.0000   50.0000  0.9747E+00
 1470.0000   60.0000  0.8674E+00
 1470.0000   70.0000  0.7352E+00
 1470.0000   80.0000  0.5933E+00
 1470.0000   90.0000  0.4668E+00
 1470.0000  100.0000  0.3795E+00
 1470.0000  110.0000  0.3403E+00
 1470.0000  120.0000  0.3402E+00
 1470.0000  130.0000  0.3610E+00
 1470.0000  140.0000  0.3847E+00
 1470.0000  150.0000  0.3988E+00
 1470.0000  160.0000  0.3995E+00
 1470.0000  170.0000  0.3927E+00
 1470.0000  179.9000  0.3887E+00
 1480.0000    0.1000  0.1092E+01
 1480.0000   10.0000  0.1092E+01
 1480.0000   20.0000  0.1087E+01
 1480.0000   30.0000  0.1067E+01
 1480.0000   40.0000  0.1024E+01
 1480.0000   50.0000  0.9522E+00
 1480.0000   60.0000  0.8484E+00
 1480.0000   70.0000  0.7163E+00
 1480.0000   80.0000  0.5722E+00
 1480.0000   90.0000  0.4437E+00
 1480.0000  100.0000  0.3567E+00
 1480.0000  110.0000  0.3204E+00
 1480.0000  120.0000  0.3247E+00
 1480.0000  130.0000  0.3497E+00
 1480.0000  140.0000  0.3759E+00
 1480.0000  150.0000  0.3905E+00
 1480.0000  160.0000  0.3904E+00
 1480.0000  170.0000  0.3823E+00
 1480.0000  179.9000  0.3778E+00
 1490.0000    0.1000  0.1034E+01
 1490.0000   10.0000  0.1036E+01
 1490.0000   20.0000  0.1039E+01
 1490.0000   30.0000  0.1028E+01
 1490.0000   40.0000  0.9935E+00
 1490.0000   50.0000  0.9278E+00
 1490.0000   60.0000  0.8271E+00
 1490.0000   70.0000  0.6948E+00
 1490.0000   80.0000  0.5485E+00
 1490.0000   90.0000  0.4182E+00
 1490.0000  100.0000  0.3319E+00
 1490.0000  110.0000  0.2991E+00
 1490.0000  120.0000  0.3084E+00
 1490.0000  130.0000  0.3378E+00
 1490.0000  140.0000  0.3666E+00
 1490.0000  150.0000  0.3819E+00
 1490.0000  160.0000  0.3808E+00
 1490.0000  170.0000  0.3715E+00
 1490.0000  179.9000  0.3663E+00
 1500.0000    0.1000  0.9780E+00
 1500.0000   10.0000  0.9830E+00
 1500.0000   20.0000  0.9916E+00
 1500.0000   30.0000  0.9890E+00
 1500.0000   40.0000  0.9619E+00
 1500.0000   50.0000  0.9017E+00
 1500.0000   60.0000  0.8034E+00
 1500.0000   70.0000  0.6705E+00
 1500.0000   80.0000  0.5218E+00
 1500.0000   90.0000  0.3899E+00
 1500.0000  100.0000  0.3049E+00
 1500.0000  110.0000  0.2764E+00
 1500.0000  120.0000  0.2912E+00
 1500.0000  130.0000  0.3253E+00
 1500.0000  140.0000  0.3569E+00
 1500.0000  150.0000  0.3728E+00
 1500.0000  160.0000  0.3709E+00
 1500.0000  170.0000  0.3604E+00
 1500.0000  179.9000  0.3548E+00
 1510.0000    0.1000  0.9254E+00
 1510.0000   10.0000  0.9326E+00
 1510.0000   20.0000  0.9466E+00
 1510.0000   30.0000  0.9508E+00
 1510.0000   40.0000  0.9300E+00
 1510.0000   50.0000  0.8740E+00
 1510.0000   60.0000  0.7772E+00
 1510.0000   70.0000  0.6430E+00
 1510.0000   80.0000  0.4918E+00
 1510.0000   90.0000  0.3589E+00
 1510.0000  100.0000  0.2759E+00
 1510.0000  110.0000  0.2524E+00
 1510.0000  120.0000  0.2733E+00
 1510.0000  130.0000  0.3124E+00
 1510.0000  140.0000  0.3467E+00
 1510.0000  150.0000  0.3633E+00
 1510.0000  160.0000  0.3609E+00
 1510.0000  170.0000  0.3495E+00
 1510.0000  179.9000  0.3434E+00
 1520.0000    0.1000  0.8774E+00
 1520.0000   10.0000  0.8864E+00
 1520.0000   20.0000  0.9049E+00
 1520.0000   30.0000  0.9145E+00
 1520.0000   40.0000  0.8982E+00
 1520.0000   50.0000  0.8449E+00
 1520.0000   60.0000  0.7483E+00
 1520.0000   70.0000  0.6122E+00
 1520.0000   80.0000  0.4586E+00
 1520.0000   90.0000  0.3252E+00
 1520.0000  100.0000  0.2452E+00
 1520.0000  110.0000  0.2276E+00
 1520.0000  120.0000  0.2550E+00
 1520.0000  130.0000  0.2991E+00
 1520.0000  140.0000  0.3362E+00
 1520.0000  150.0000  0.3535E+00
 1520.0000  160.0000  0.3508E+00
 1520.0000  170.0000  0.3389E+00
 1520.0000  179.9000  0.3326E+00
 1530.0000    0.1000  0.8355E+00
 1530.0000   10.0000  0.8458E+00
 1530.0000   20.0000  0.8677E+00
 1530.0000   30.0000  0.8810E+00
 1530.0000   40.0000  0.8674E+00
 1530.0000   50.0000  0.8150E+00
 1530.0000   60.0000  0.7171E+00
 1530.0000   70.0000  0.5782E+00
 1530.0000   80.0000  0.4223E+00
 1530.0000   90.0000  0.2893E+00
 1530.0000  100.0000  0.2136E+00
 1530.0000  110.0000  0.2029E+00
 1530.0000  120.0000  0.2373E+00
 1530.0000  130.0000  0.2863E+00
 1530.0000  140.0000  0.3257E+00
 1530.0000  150.0000  0.3437E+00
 1530.0000  160.0000  0.3410E+00
 1530.0000  170.0000  0.3291E+00
 1530.0000  179.9000  0.3228E+00
 1540.0000    0.1000  0.8016E+00
 1540.0000   10.0000  0.8129E+00
 1540.0000   20.0000  0.8367E+00
 1540.0000   30.0000  0.8519E+00
 1540.0000   40.0000  0.8388E+00
 1540.0000   50.0000  0.7849E+00
 1540.0000   60.0000  0.6841E+00
 1540.0000   70.0000  0.5417E+00
 1540.0000   80.0000  0.3837E+00
 1540.0000   90.0000  0.2524E+00
 1540.0000  100.0000  0.1825E+00
 1540.0000  110.0000  0.1799E+00
 1540.0000  120.0000  0.2216E+00
 1540.0000  130.0000  0.2750E+00
 1540.0000  140.0000  0.3160E+00
 1540.0000  150.0000  0.3345E+00
 1540.0000  160.0000  0.3322E+00
 1540.0000  170.0000  0.3208E+00
 1540.0000  179.9000  0.3147E+00
 1550.0000    0.1000  0.7790E+00
 1550.0000   10.0000  0.7906E+00
 1550.0000   20.0000  0.8151E+00
 1550.0000   30.0000  0.8298E+00
 1550.0000   40.0000  0.8145E+00
 1550.0000   50.0000  0.7568E+00
 1550.0000   60.0000  0.6510E+00
 1550.0000   70.0000  0.5041E+00
 1550.0000   80.0000  0.3445E+00
 1550.0000   90.0000  0.2162E+00
 1550.0000  100.0000  0.1540E+00
 1550.0000  110.0000  0.1608E+00
 1550.0000  120.0000  0.2099E+00
 1550.0000  130.0000  0.2670E+00
 1550.0000  140.0000  0.3088E+00
 1550.0000  150.0000  0.3272E+00
 1550.0000  160.0000  0.3255E+00
 1550.0000  170.0000  0.3151E+00
 1550.0000  179.9000  0.3096E+00
 1560.0000    0.1000  0.7729E+00
 1560.0000   10.0000  0.7843E+00
 1560.0000   20.0000  0.8076E+00
 1560.0000   30.0000  0.8193E+00
 1560.0000   40.0000  0.7987E+00
 1560.0000   50.0000  0.7340E+00
 1560.0000   60.0000  0.6209E+00
 1560.0000   70.0000  0.4683E+00
 1560.0000   80.0000  0.3073E+00
 1560.0000   90.0000  0.1836E+00
 1560.0000  100.0000  0.1310E+00
 1560.0000  110.0000  0.1484E+00
 1560.0000  120.0000  0.2051E+00
 1560.0000  130.0000  0.2651E+00
 1560.0000  140.0000  0.3066E+00
 1560.0000  150.0000  0.3244E+00
 1560.0000  160.0000  0.3236E+00
 1560.0000  170.0000  0.3148E+00
 1560.0000  179.9000  0.3101E+00
 1570.0000    0.1000  0.7911E+00
 1570.0000   10.0000  0.8015E+00
 1570.0000   20.0000  0.8217E+00
 1570.0000   30.0000  0.8273E+00
 1570.0000   40.0000  0.7979E+00
 1570.0000   50.0000  0.7225E+00
 1570.0000   60.0000  0.5989E+00
 1570.0000   70.0000  0.4388E+00
 1570.0000   80.0000  0.2762E+00
 1570.0000   90.0000  0.1581E+00
 1570.0000  100.0000  0.1166E+00
 1570.0000  110.0000  0.1459E+00
 1570.0000  120.0000  0.2102E+00
 1570.0000  130.0000  0.2721E+00
 1570.0000  140.0000  0.3125E+00
 1570.0000  150.0000  0.3296E+00
 1570.0000  160.0000  0.3303E+00
 1570.0000  170.0000  0.3241E+00
 1570.0000  179.9000  0.3207E+00
 1580.0000    0.1000  0.8426E+00
 1580.0000   10.0000  0.8514E+00
 1580.0000   20.0000  0.8663E+00
 1580.0000   30.0000  0.8625E+00
 1580.0000   40.0000  0.8201E+00
 1580.0000   50.0000  0.7298E+00
 1580.0000   60.0000  0.5920E+00
 1580.0000   70.0000  0.4216E+00
 1580.0000   80.0000  0.2559E+00
 1580.0000   90.0000  0.1436E+00
 1580.0000  100.0000  0.1140E+00
 1580.0000  110.0000  0.1557E+00
 1580.0000  120.0000  0.2276E+00
 1580.0000  130.0000  0.2910E+00
 1580.0000  140.0000  0.3299E+00
 1580.0000  150.0000  0.3471E+00
 1580.0000  160.0000  0.3510E+00
 1580.0000  170.0000  0.3492E+00
 1580.0000  179.9000  0.3477E+00
 1590.0000    0.1000  0.9346E+00
 1590.0000   10.0000  0.9411E+00
 1590.0000   20.0000  0.9487E+00
 1590.0000   30.0000  0.9327E+00
 1590.0000   40.0000  0.8735E+00
 1590.0000   50.0000  0.7640E+00
 1590.0000   60.0000  0.6075E+00
 1590.0000   70.0000  0.4229E+00
 1590.0000   80.0000  0.2513E+00
 1590.0000   90.0000  0.1430E+00
 1590.0000  100.0000  0.1247E+00
 1590.0000  110.0000  0.1785E+00
 1590.0000  120.0000  0.2576E+00
 1590.0000  130.0000  0.3224E+00
 1590.0000  140.0000  0.3609E+00
 1590.0000  150.0000  0.3807E+00
 1590.0000  160.0000  0.3911E+00
 1590.0000  170.0000  0.3966E+00
 1590.0000  179.9000  0.3983E+00
 1600.0000    0.1000  0.1067E+01
 1600.0000   10.0000  0.1071E+01
 1600.0000   20.0000  0.1070E+01
 1600.0000   30.0000  0.1040E+01
 1600.0000   40.0000  0.9616E+00
 1600.0000   50.0000  0.8295E+00
 1600.0000   60.0000  0.6500E+00
 1600.0000   70.0000  0.4463E+00
 1600.0000   80.0000  0.2644E+00
 1600.0000   90.0000  0.1568E+00
 1600.0000  100.0000  0.1473E+00
 1600.0000  110.0000  0.2116E+00
 1600.0000  120.0000  0.2972E+00
 1600.0000  130.0000  0.3639E+00
 1600.0000  140.0000  0.4044E+00
 1600.0000  150.0000  0.4310E+00
 1600.0000  160.0000  0.4535E+00
 1600.0000  170.0000  0.4707E+00
 1600.0000  179.9000  0.4774E+00
 1610.0000    0.1000  0.1228E+01
 1610.0000   10.0000  0.1230E+01
 1610.0000   20.0000  0.1221E+01
 1610.0000   30.0000  0.1178E+01
 1610.0000   40.0000  0.1080E+01
 1610.0000   50.0000  0.9236E+00
 1610.0000   60.0000  0.7179E+00
 1610.0000   70.0000  0.4908E+00
 1610.0000   80.0000  0.2934E+00
 1610.0000   90.0000  0.1816E+00
 1610.0000  100.0000  0.1772E+00
 1610.0000  110.0000  0.2494E+00
 1610.0000  120.0000  0.3402E+00
 1610.0000  130.0000  0.4095E+00
 1610.0000  140.0000  0.4553E+00
 1610.0000  150.0000  0.4947E+00
 1610.0000  160.0000  0.5361E+00
 1610.0000  170.0000  0.5709E+00
 1610.0000  179.9000  0.5848E+00
 1620.0000    0.1000  0.1399E+01
 1620.0000   10.0000  0.1399E+01
 1620.0000   20.0000  0.1385E+01
 1620.0000   30.0000  0.1330E+01
 1620.0000   40.0000  0.1216E+01
 1620.0000   50.0000  0.1036E+01
 1620.0000   60.0000  0.8033E+00
 1620.0000   70.0000  0.5494E+00
 1620.0000   80.0000  0.3320E+00
 1620.0000   90.0000  0.2113E+00
 1620.0000  100.0000  0.2079E+00
 1620.0000  110.0000  0.2849E+00
 1620.0000  120.0000  0.3791E+00
 1620.0000  130.0000  0.4514E+00
 1620.0000  140.0000  0.5057E+00
 1620.0000  150.0000  0.5639E+00
 1620.0000  160.0000  0.6317E+00
 1620.0000  170.0000  0.6903E+00
 1620.0000  179.9000  0.7136E+00
 1630.0000    0.1000  0.1559E+01
 1630.0000   10.0000  0.1558E+01
 1630.0000   20.0000  0.1541E+01
 1630.0000   30.0000  0.1479E+01
 1630.0000   40.0000  0.1352E+01
 1630.0000   50.0000  0.1153E+01
 1630.0000   60.0000  0.8945E+00
 1630.0000   70.0000  0.6126E+00
 1630.0000   80.0000  0.3724E+00
 1630.0000   90.0000  0.2395E+00
 1630.0000  100.0000  0.2339E+00
 1630.0000  110.0000  0.3130E+00
 1630.0000  120.0000  0.4087E+00
 1630.0000  130.0000  0.4835E+00
 1630.0000  140.0000  0.5482E+00
 1630.0000  150.0000  0.6299E+00
 1630.0000  160.0000  0.7305E+00
 1630.0000  170.0000  0.8182E+00
 1630.0000  179.9000  0.8533E+00
 1640.0000    0.1000  0.1693E+01
 1640.0000   10.0000  0.1692E+01
 1640.0000   20.0000  0.1674E+01
 1640.0000   30.0000  0.1610E+01
 1640.0000   40.0000  0.1476E+01
 1640.0000   50.0000  0.1262E+01
 1640.0000   60.0000  0.9810E+00
 1640.0000   70.0000  0.6721E+00
 1640.0000   80.0000  0.4083E+00
 1640.0000   90.0000  0.2617E+00
 1640.0000  100.0000  0.2525E+00
 1640.0000  110.0000  0.3321E+00
 1640.0000  120.0000  0.4274E+00
 1640.0000  130.0000  0.5031E+00
 1640.0000  140.0000  0.5784E+00
 1640.0000  150.0000  0.6862E+00
 1640.0000  160.0000  0.8238E+00
 1640.0000  170.0000  0.9449E+00
 1640.0000  179.9000  0.9934E+00
 1650.0000    0.1000  0.1797E+01
 1650.0000   10.0000  0.1796E+01
 1650.0000   20.0000  0.1779E+01
 1650.0000   30.0000  0.1716E+01
 1650.0000   40.0000  0.1579E+01
 1650.0000   50.0000  0.1356E+01
 1650.0000   60.0000  0.1056E+01
 1650.0000   70.0000  0.7226E+00
 1650.0000   80.0000  0.4363E+00
 1650.0000   90.0000  0.2764E+00
 1650.0000  100.0000  0.2638E+00
 1650.0000  110.0000  0.3435E+00
 1650.0000  120.0000  0.4368E+00
 1650.0000  130.0000  0.5111E+00
 1650.0000  140.0000  0.5953E+00
 1650.0000  150.0000  0.7295E+00
 1650.0000  160.0000  0.9063E+00
 1650.0000  170.0000  0.1063E+01
 1650.0000  179.9000  0.1126E+01
 1660.0000    0.1000  0.1874E+01
 1660.0000   10.0000  0.1873E+01
 1660.0000   20.0000  0.1856E+01
 1660.0000   30.0000  0.1794E+01
 1660.0000   40.0000  0.1658E+01
 1660.0000   50.0000  0.1431E+01
 1660.0000   60.0000  0.1117E+01
 1660.0000   70.0000  0.7624E+00
 1660.0000   80.0000  0.4555E+00
 1660.0000   90.0000  0.2842E+00
 1660.0000  100.0000  0.2697E+00
 1660.0000  110.0000  0.3500E+00
 1660.0000  120.0000  0.4402E+00
 1660.0000  130.0000  0.5104E+00
 1660.0000  140.0000  0.6007E+00
 1660.0000  150.0000  0.7596E+00
 1660.0000  160.0000  0.9761E+00
 1660.0000  170.0000  0.1170E+01
 1660.0000  179.9000  0.1249E+01
 1670.0000    0.1000  0.1932E+01
 1670.0000   10.0000  0.1929E+01
 1670.0000   20.0000  0.1911E+01
 1670.0000   30.0000  0.1850E+01
 1670.0000   40.0000  0.1716E+01
 1670.0000   50.0000  0.1488E+01
 1670.0000   60.0000  0.1165E+01
 1670.0000   70.0000  0.7917E+00
 1670.0000   80.0000  0.4666E+00
 1670.0000   90.0000  0.2861E+00
 1670.0000  100.0000  0.2722E+00
 1670.0000  110.0000  0.3548E+00
 1670.0000  120.0000  0.4413E+00
 1670.0000  130.0000  0.5046E+00
 1670.0000  140.0000  0.5973E+00
 1670.0000  150.0000  0.7785E+00
 1670.0000  160.0000  0.1034E+01
 1670.0000  170.0000  0.1266E+01
 1670.0000  179.9000  0.1360E+01
 1680.0000    0.1000  0.1982E+01
 1680.0000   10.0000  0.1977E+01
 1680.0000   20.0000  0.1952E+01
 1680.0000   30.0000  0.1887E+01
 1680.0000   40.0000  0.1756E+01
 1680.0000   50.0000  0.1530E+01
 1680.0000   60.0000  0.1200E+01
 1680.0000   70.0000  0.8118E+00
 1680.0000   80.0000  0.4709E+00
 1680.0000   90.0000  0.2837E+00
 1680.0000  100.0000  0.2732E+00
 1680.0000  110.0000  0.3603E+00
 1680.0000  120.0000  0.4431E+00
 1680.0000  130.0000  0.4969E+00
 1680.0000  140.0000  0.5881E+00
 1680.0000  150.0000  0.7883E+00
 1680.0000  160.0000  0.1081E+01
 1680.0000  170.0000  0.1351E+01
 1680.0000  179.9000  0.1461E+01
 1690.0000    0.1000  0.2036E+01
 1690.0000   10.0000  0.2025E+01
 1690.0000   20.0000  0.1987E+01
 1690.0000   30.0000  0.1912E+01
 1690.0000   40.0000  0.1780E+01
 1690.0000   50.0000  0.1556E+01
 1690.0000   60.0000  0.1223E+01
 1690.0000   70.0000  0.8229E+00
 1690.0000   80.0000  0.4687E+00
 1690.0000   90.0000  0.2776E+00
 1690.0000  100.0000  0.2741E+00
 1690.0000  110.0000  0.3683E+00
 1690.0000  120.0000  0.4479E+00
 1690.0000  130.0000  0.4899E+00
 1690.0000  140.0000  0.5754E+00
 1690.0000  150.0000  0.7909E+00
 1690.0000  160.0000  0.1120E+01
 1690.0000  170.0000  0.1427E+01
 1690.0000  179.9000  0.1553E+01
 1700.0000    0.1000  0.2108E+01
 1700.0000   10.0000  0.2087E+01
 1700.0000   20.0000  0.2027E+01
 1700.0000   30.0000  0.1934E+01
 1700.0000   40.0000  0.1795E+01
 1700.0000   50.0000  0.1573E+01
 1700.0000   60.0000  0.1238E+01
 1700.0000   70.0000  0.8275E+00
 1700.0000   80.0000  0.4620E+00
 1700.0000   90.0000  0.2699E+00
 1700.0000  100.0000  0.2766E+00
 1700.0000  110.0000  0.3810E+00
 1700.0000  120.0000  0.4580E+00
 1700.0000  130.0000  0.4859E+00
 1700.0000  140.0000  0.5620E+00
 1700.0000  150.0000  0.7894E+00
 1700.0000  160.0000  0.1152E+01
 1700.0000  170.0000  0.1497E+01
 1700.0000  179.9000  0.1639E+01
 1710.0000    0.1000  0.2208E+01
 1710.0000   10.0000  0.2173E+01
 1710.0000   20.0000  0.2082E+01
 1710.0000   30.0000  0.1959E+01
 1710.0000   40.0000  0.1807E+01
 1710.0000   50.0000  0.1583E+01
 1710.0000   60.0000  0.1246E+01
 1710.0000   70.0000  0.8267E+00
 1710.0000   80.0000  0.4516E+00
 1710.0000   90.0000  0.2608E+00
 1710.0000  100.0000  0.2811E+00
 1710.0000  110.0000  0.3984E+00
 1710.0000  120.0000  0.4737E+00
 1710.0000  130.0000  0.4859E+00
 1710.0000  140.0000  0.5490E+00
 1710.0000  150.0000  0.7846E+00
 1710.0000  160.0000  0.1178E+01
 1710.0000  170.0000  0.1559E+01
 1710.0000  179.9000  0.1717E+01
 1720.0000    0.1000  0.2341E+01
 1720.0000   10.0000  0.2289E+01
 1720.0000   20.0000  0.2156E+01
 1720.0000   30.0000  0.1992E+01
 1720.0000   40.0000  0.1817E+01
 1720.0000   50.0000  0.1588E+01
 1720.0000   60.0000  0.1248E+01
 1720.0000   70.0000  0.8206E+00
 1720.0000   80.0000  0.4378E+00
 1720.0000   90.0000  0.2510E+00
 1720.0000  100.0000  0.2879E+00
 1720.0000  110.0000  0.4210E+00
 1720.0000  120.0000  0.4958E+00
 1720.0000  130.0000  0.4910E+00
 1720.0000  140.0000  0.5379E+00
 1720.0000  150.0000  0.7779E+00
 1720.0000  160.0000  0.1200E+01
 1720.0000  170.0000  0.1615E+01
 1720.0000  179.9000  0.1788E+01
 1730.0000    0.1000  0.2513E+01
 1730.0000   10.0000  0.2438E+01
 1730.0000   20.0000  0.2253E+01
 1730.0000   30.0000  0.2037E+01
 1730.0000   40.0000  0.1829E+01
 1730.0000   50.0000  0.1589E+01
 1730.0000   60.0000  0.1245E+01
 1730.0000   70.0000  0.8098E+00
 1730.0000   80.0000  0.4213E+00
 1730.0000   90.0000  0.2412E+00
 1730.0000  100.0000  0.2976E+00
 1730.0000  110.0000  0.4487E+00
 1730.0000  120.0000  0.5242E+00
 1730.0000  130.0000  0.5018E+00
 1730.0000  140.0000  0.5302E+00
 1730.0000  150.0000  0.7708E+00
 1730.0000  160.0000  0.1217E+01
 1730.0000  170.0000  0.1663E+01
 1730.0000  179.9000  0.1850E+01
 1740.0000    0.1000  0.2723E+01
 1740.0000   10.0000  0.2623E+01
 1740.0000   20.0000  0.2376E+01
 1740.0000   30.0000  0.2094E+01
 1740.0000   40.0000  0.1844E+01
 1740.0000   50.0000  0.1587E+01
 1740.0000   60.0000  0.1236E+01
 1740.0000   70.0000  0.7949E+00
 1740.0000   80.0000  0.4032E+00
 1740.0000   90.0000  0.2322E+00
 1740.0000  100.0000  0.3103E+00
 1740.0000  110.0000  0.4813E+00
 1740.0000  120.0000  0.5586E+00
 1740.0000  130.0000  0.5188E+00
 1740.0000  140.0000  0.5269E+00
 1740.0000  150.0000  0.7649E+00
 1740.0000  160.0000  0.1231E+01
 1740.0000  170.0000  0.1705E+01
 1740.0000  179.9000  0.1905E+01
 1750.0000    0.1000  0.2972E+01
 1750.0000   10.0000  0.2843E+01
 1750.0000   20.0000  0.2524E+01
 1750.0000   30.0000  0.2166E+01
 1750.0000   40.0000  0.1864E+01
 1750.0000   50.0000  0.1582E+01
 1750.0000   60.0000  0.1223E+01
 1750.0000   70.0000  0.7768E+00
 1750.0000   80.0000  0.3845E+00
 1750.0000   90.0000  0.2251E+00
 1750.0000  100.0000  0.3264E+00
 1750.0000  110.0000  0.5182E+00
 1750.0000  120.0000  0.5983E+00
 1750.0000  130.0000  0.5416E+00
 1750.0000  140.0000  0.5289E+00
 1750.0000  150.0000  0.7615E+00
 1750.0000  160.0000  0.1244E+01
 1750.0000  170.0000  0.1741E+01
 1750.0000  179.9000  0.1953E+01
 1760.0000    0.1000  0.3260E+01
 1760.0000   10.0000  0.3097E+01
 1760.0000   20.0000  0.2699E+01
 1760.0000   30.0000  0.2252E+01
 1760.0000   40.0000  0.1887E+01
 1760.0000   50.0000  0.1575E+01
 1760.0000   60.0000  0.1207E+01
 1760.0000   70.0000  0.7568E+00
 1760.0000   80.0000  0.3667E+00
 1760.0000   90.0000  0.2210E+00
 1760.0000  100.0000  0.3462E+00
 1760.0000  110.0000  0.5591E+00
 1760.0000  120.0000  0.6427E+00
 1760.0000  130.0000  0.5699E+00
 1760.0000  140.0000  0.5363E+00
 1760.0000  150.0000  0.7618E+00
 1760.0000  160.0000  0.1256E+01
 1760.0000  170.0000  0.1775E+01
 1760.0000  179.9000  0.1996E+01
 1770.0000    0.1000  0.3586E+01
 1770.0000   10.0000  0.3387E+01
 1770.0000   20.0000  0.2898E+01
 1770.0000   30.0000  0.2351E+01
 1770.0000   40.0000  0.1912E+01
 1770.0000   50.0000  0.1566E+01
 1770.0000   60.0000  0.1187E+01
 1770.0000   70.0000  0.7359E+00
 1770.0000   80.0000  0.3511E+00
 1770.0000   90.0000  0.2209E+00
 1770.0000  100.0000  0.3704E+00
 1770.0000  110.0000  0.6041E+00
 1770.0000  120.0000  0.6912E+00
 1770.0000  130.0000  0.6033E+00
 1770.0000  140.0000  0.5491E+00
 1770.0000  150.0000  0.7661E+00
 1770.0000  160.0000  0.1271E+01
 1770.0000  170.0000  0.1807E+01
 1770.0000  179.9000  0.2036E+01
 1780.0000    0.1000  0.3955E+01
 1780.0000   10.0000  0.3714E+01
 1780.0000   20.0000  0.3122E+01
 1780.0000   30.0000  0.2462E+01
 1780.0000   40.0000  0.1940E+01
 1780.0000   50.0000  0.1553E+01
 1780.0000   60.0000  0.1164E+01
 1780.0000   70.0000  0.7152E+00
 1780.0000   80.0000  0.3389E+00
 1780.0000   90.0000  0.2259E+00
 1780.0000  100.0000  0.3994E+00
 1780.0000  110.0000  0.6531E+00
 1780.0000  120.0000  0.7438E+00
 1780.0000  130.0000  0.6412E+00
 1780.0000  140.0000  0.5670E+00
 1780.0000  150.0000  0.7748E+00
 1780.0000  160.0000  0.1287E+01
 1780.0000  170.0000  0.1839E+01
 1780.0000  179.9000  0.2077E+01
 1790.0000    0.1000  0.4369E+01
 1790.0000   10.0000  0.4082E+01
 1790.0000   20.0000  0.3374E+01
 1790.0000   30.0000  0.2583E+01
 1790.0000   40.0000  0.1967E+01
 1790.0000   50.0000  0.1536E+01
 1790.0000   60.0000  0.1138E+01
 1790.0000   70.0000  0.6955E+00
 1790.0000   80.0000  0.3314E+00
 1790.0000   90.0000  0.2370E+00
 1790.0000  100.0000  0.4341E+00
 1790.0000  110.0000  0.7066E+00
 1790.0000  120.0000  0.8002E+00
 1790.0000  130.0000  0.6833E+00
 1790.0000  140.0000  0.5892E+00
 1790.0000  150.0000  0.7872E+00
 1790.0000  160.0000  0.1306E+01
 1790.0000  170.0000  0.1873E+01
 1790.0000  179.9000  0.2118E+01
 1800.0000    0.1000  0.4835E+01
 1800.0000   10.0000  0.4493E+01
 1800.0000   20.0000  0.3652E+01
 1800.0000   30.0000  0.2714E+01
 1800.0000   40.0000  0.1992E+01
 1800.0000   50.0000  0.1512E+01
 1800.0000   60.0000  0.1108E+01
 1800.0000   70.0000  0.6773E+00
 1800.0000   80.0000  0.3296E+00
 1800.0000   90.0000  0.2553E+00
 1800.0000  100.0000  0.4752E+00
 1800.0000  110.0000  0.7650E+00
 1800.0000  120.0000  0.8606E+00
 1800.0000  130.0000  0.7292E+00
 1800.0000  140.0000  0.6150E+00
 1800.0000  150.0000  0.8027E+00
 1800.0000  160.0000  0.1328E+01
 1800.0000  170.0000  0.1908E+01
 1800.0000  179.9000  0.2160E+01
 1810.0000    0.1000  0.5358E+01
 1810.0000   10.0000  0.4954E+01
 1810.0000   20.0000  0.3960E+01
 1810.0000   30.0000  0.2853E+01
 1810.0000   40.0000  0.2011E+01
 1810.0000   50.0000  0.1480E+01
 1810.0000   60.0000  0.1074E+01
 1810.0000   70.0000  0.6614E+00
