    W        Theta    pip-p
 1160.0000   70.0000  0.4167E+00
 1160.0000   80.0000  0.3730E+00
 1160.0000   90.0000  0.3374E+00
 1160.0000  100.0000  0.3089E+00
 1160.0000  110.0000  0.2858E+00
 1160.0000  120.0000  0.2668E+00
 1160.0000  130.0000  0.2508E+00
 1160.0000  140.0000  0.2373E+00
 1160.0000  150.0000  0.2262E+00
 1160.0000  160.0000  0.2176E+00
 1160.0000  170.0000  0.2122E+00
 1160.0000  179.9000  0.2103E+00
 1170.0000    0.1000  0.8325E+00
 1170.0000   10.0000  0.8178E+00
 1170.0000   20.0000  0.7762E+00
 1170.0000   30.0000  0.7150E+00
 1170.0000   40.0000  0.6436E+00
 1170.0000   50.0000  0.5710E+00
 1170.0000   60.0000  0.5037E+00
 1170.0000   70.0000  0.4455E+00
 1170.0000   80.0000  0.3974E+00
 1170.0000   90.0000  0.3588E+00
 1170.0000  100.0000  0.3283E+00
 1170.0000  110.0000  0.3038E+00
 1170.0000  120.0000  0.2838E+00
 1170.0000  130.0000  0.2670E+00
 1170.0000  140.0000  0.2528E+00
 1170.0000  150.0000  0.2409E+00
 1170.0000  160.0000  0.2317E+00
 1170.0000  170.0000  0.2258E+00
 1170.0000  179.9000  0.2238E+00
 1180.0000    0.1000  0.9114E+00
 1180.0000   10.0000  0.8942E+00
 1180.0000   20.0000  0.8460E+00
 1180.0000   30.0000  0.7756E+00
 1180.0000   40.0000  0.6943E+00
 1180.0000   50.0000  0.6125E+00
 1180.0000   60.0000  0.5377E+00
 1180.0000   70.0000  0.4737E+00
 1180.0000   80.0000  0.4216E+00
 1180.0000   90.0000  0.3802E+00
 1180.0000  100.0000  0.3476E+00
 1180.0000  110.0000  0.3218E+00
 1180.0000  120.0000  0.3009E+00
 1180.0000  130.0000  0.2834E+00
 1180.0000  140.0000  0.2685E+00
 1180.0000  150.0000  0.2560E+00
 1180.0000  160.0000  0.2462E+00
 1180.0000  170.0000  0.2399E+00
 1180.0000  179.9000  0.2377E+00
 1190.0000    0.1000  0.9884E+00
 1190.0000   10.0000  0.9688E+00
 1190.0000   20.0000  0.9140E+00
 1190.0000   30.0000  0.8345E+00
 1190.0000   40.0000  0.7434E+00
 1190.0000   50.0000  0.6527E+00
 1190.0000   60.0000  0.5707E+00
 1190.0000   70.0000  0.5013E+00
 1190.0000   80.0000  0.4452E+00
 1190.0000   90.0000  0.4011E+00
 1190.0000  100.0000  0.3667E+00
 1190.0000  110.0000  0.3396E+00
 1190.0000  120.0000  0.3177E+00
 1190.0000  130.0000  0.2996E+00
 1190.0000  140.0000  0.2842E+00
 1190.0000  150.0000  0.2711E+00
 1190.0000  160.0000  0.2608E+00
 1190.0000  170.0000  0.2541E+00
 1190.0000  179.9000  0.2518E+00
 1200.0000    0.1000  0.1063E+01
 1200.0000   10.0000  0.1041E+01
 1200.0000   20.0000  0.9794E+00
 1200.0000   30.0000  0.8909E+00
 1200.0000   40.0000  0.7904E+00
 1200.0000   50.0000  0.6913E+00
 1200.0000   60.0000  0.6024E+00
 1200.0000   70.0000  0.5279E+00
 1200.0000   80.0000  0.4682E+00
 1200.0000   90.0000  0.4213E+00
 1200.0000  100.0000  0.3850E+00
 1200.0000  110.0000  0.3566E+00
 1200.0000  120.0000  0.3339E+00
 1200.0000  130.0000  0.3153E+00
 1200.0000  140.0000  0.2994E+00
 1200.0000  150.0000  0.2860E+00
 1200.0000  160.0000  0.2753E+00
 1200.0000  170.0000  0.2682E+00
 1200.0000  179.9000  0.2657E+00
 1210.0000    0.1000  0.1134E+01
 1210.0000   10.0000  0.1109E+01
 1210.0000   20.0000  0.1042E+01
 1210.0000   30.0000  0.9445E+00
 1210.0000   40.0000  0.8349E+00
 1210.0000   50.0000  0.7278E+00
 1210.0000   60.0000  0.6326E+00
 1210.0000   70.0000  0.5534E+00
 1210.0000   80.0000  0.4900E+00
 1210.0000   90.0000  0.4406E+00
 1210.0000  100.0000  0.4023E+00
 1210.0000  110.0000  0.3726E+00
 1210.0000  120.0000  0.3492E+00
 1210.0000  130.0000  0.3300E+00
 1210.0000  140.0000  0.3139E+00
 1210.0000  150.0000  0.3002E+00
 1210.0000  160.0000  0.2892E+00
 1210.0000  170.0000  0.2819E+00
 1210.0000  179.9000  0.2793E+00
 1220.0000    0.1000  0.1201E+01
 1220.0000   10.0000  0.1174E+01
 1220.0000   20.0000  0.1100E+01
 1220.0000   30.0000  0.9949E+00
 1220.0000   40.0000  0.8769E+00
 1220.0000   50.0000  0.7623E+00
 1220.0000   60.0000  0.6612E+00
 1220.0000   70.0000  0.5775E+00
 1220.0000   80.0000  0.5107E+00
 1220.0000   90.0000  0.4587E+00
 1220.0000  100.0000  0.4185E+00
 1220.0000  110.0000  0.3874E+00
 1220.0000  120.0000  0.3632E+00
 1220.0000  130.0000  0.3438E+00
 1220.0000  140.0000  0.3276E+00
 1220.0000  150.0000  0.3138E+00
 1220.0000  160.0000  0.3026E+00
 1220.0000  170.0000  0.2950E+00
 1220.0000  179.9000  0.2924E+00
 1230.0000    0.1000  0.1263E+01
 1230.0000   10.0000  0.1234E+01
 1230.0000   20.0000  0.1155E+01
 1230.0000   30.0000  0.1042E+01
