    W        Theta    pip-n       pi0-p
 1330.0000  130.0000  0.4028E-01  0.2864E+00
 1330.0000  140.0000  0.2981E-01  0.2957E+00
 1330.0000  150.0000  0.2989E-01  0.3112E+00
 1330.0000  160.0000  0.3519E-01  0.3276E+00
 1330.0000  170.0000  0.4065E-01  0.3400E+00
 1330.0000  179.9000  0.4286E-01  0.3445E+00
 1340.0000    0.1000  0.6361E+00  0.1687E+01
 1340.0000   10.0000  0.6221E+00  0.1633E+01
 1340.0000   20.0000  0.5842E+00  0.1487E+01
 1340.0000   30.0000  0.5327E+00  0.1281E+01
 1340.0000   40.0000  0.4792E+00  0.1058E+01
 1340.0000   50.0000  0.4314E+00  0.8502E+00
 1340.0000   60.0000  0.3899E+00  0.6776E+00
 1340.0000   70.0000  0.3494E+00  0.5458E+00
 1340.0000   80.0000  0.3035E+00  0.4512E+00
 1340.0000   90.0000  0.2492E+00  0.3861E+00
 1340.0000  100.0000  0.1895E+00  0.3428E+00
 1340.0000  110.0000  0.1321E+00  0.3158E+00
 1340.0000  120.0000  0.8509E-01  0.3020E+00
 1340.0000  130.0000  0.5350E-01  0.3001E+00
 1340.0000  140.0000  0.3769E-01  0.3082E+00
 1340.0000  150.0000  0.3400E-01  0.3229E+00
 1340.0000  160.0000  0.3684E-01  0.3389E+00
 1340.0000  170.0000  0.4093E-01  0.3510E+00
 1340.0000  179.9000  0.4271E-01  0.3555E+00
 1350.0000    0.1000  0.8230E+00  0.1825E+01
 1350.0000   10.0000  0.8031E+00  0.1766E+01
 1350.0000   20.0000  0.7495E+00  0.1605E+01
 1350.0000   30.0000  0.6772E+00  0.1379E+01
 1350.0000   40.0000  0.6030E+00  0.1135E+01
 1350.0000   50.0000  0.5376E+00  0.9082E+00
 1350.0000   60.0000  0.4818E+00  0.7210E+00
 1350.0000   70.0000  0.4289E+00  0.5788E+00
 1350.0000   80.0000  0.3709E+00  0.4773E+00
 1350.0000   90.0000  0.3043E+00  0.4080E+00
 1350.0000  100.0000  0.2329E+00  0.3622E+00
 1350.0000  110.0000  0.1650E+00  0.3339E+00
 1350.0000  120.0000  0.1097E+00  0.3198E+00
 1350.0000  130.0000  0.7201E-01  0.3183E+00
 1350.0000  140.0000  0.5217E-01  0.3277E+00
 1350.0000  150.0000  0.4599E-01  0.3441E+00
 1350.0000  160.0000  0.4744E-01  0.3619E+00
 1350.0000  170.0000  0.5086E-01  0.3753E+00
 1350.0000  179.9000  0.5244E-01  0.3802E+00
 1360.0000    0.1000  0.1031E+01  0.1952E+01
 1360.0000   10.0000  0.1004E+01  0.1888E+01
 1360.0000   20.0000  0.9327E+00  0.1713E+01
 1360.0000   30.0000  0.8366E+00  0.1467E+01
 1360.0000   40.0000  0.7390E+00  0.1202E+01
 1360.0000   50.0000  0.6537E+00  0.9580E+00
 1360.0000   60.0000  0.5818E+00  0.7571E+00
 1360.0000   70.0000  0.5147E+00  0.6056E+00
 1360.0000   80.0000  0.4427E+00  0.4983E+00
 1360.0000   90.0000  0.3624E+00  0.4257E+00
 1360.0000  100.0000  0.2782E+00  0.3788E+00
 1360.0000  110.0000  0.2001E+00  0.3509E+00
 1360.0000  120.0000  0.1376E+00  0.3386E+00
 1360.0000  130.0000  0.9582E-01  0.3404E+00
 1360.0000  140.0000  0.7422E-01  0.3543E+00
 1360.0000  150.0000  0.6775E-01  0.3759E+00
 1360.0000  160.0000  0.6958E-01  0.3986E+00
 1360.0000  170.0000  0.7344E-01  0.4154E+00
 1360.0000  179.9000  0.7521E-01  0.4215E+00
 1370.0000    0.1000  0.1253E+01  0.2064E+01
 1370.0000   10.0000  0.1219E+01  0.1995E+01
 1370.0000   20.0000  0.1127E+01  0.1805E+01
 1370.0000   30.0000  0.1004E+01  0.1541E+01
 1370.0000   40.0000  0.8812E+00  0.1257E+01
 1370.0000   50.0000  0.7746E+00  0.9959E+00
 1370.0000   60.0000  0.6851E+00  0.7829E+00
 1370.0000   70.0000  0.6024E+00  0.6233E+00
 1370.0000   80.0000  0.5151E+00  0.5114E+00
 1370.0000   90.0000  0.4197E+00  0.4370E+00
 1370.0000  100.0000  0.3226E+00  0.3903E+00
 1370.0000  110.0000  0.2350E+00  0.3646E+00
 1370.0000  120.0000  0.1673E+00  0.3566E+00
 1370.0000  130.0000  0.1243E+00  0.3650E+00
 1370.0000  140.0000  0.1042E+00  0.3874E+00
 1370.0000  150.0000  0.1006E+00  0.4185E+00
 1370.0000  160.0000  0.1052E+00  0.4498E+00
 1370.0000  170.0000  0.1111E+00  0.4727E+00
 1370.0000  179.9000  0.1136E+00  0.4811E+00
 1380.0000    0.1000  0.1481E+01  0.2157E+01
 1380.0000   10.0000  0.1438E+01  0.2083E+01
 1380.0000   20.0000  0.1324E+01  0.1880E+01
 1380.0000   30.0000  0.1173E+01  0.1598E+01
 1380.0000   40.0000  0.1023E+01  0.1296E+01
 1380.0000   50.0000  0.8938E+00  0.1020E+01
 1380.0000   60.0000  0.7861E+00  0.7962E+00
 1380.0000   70.0000  0.6868E+00  0.6300E+00
 1380.0000   80.0000  0.5831E+00  0.5149E+00
 1380.0000   90.0000  0.4722E+00  0.4399E+00
 1380.0000  100.0000  0.3622E+00  0.3948E+00
 1380.0000  110.0000  0.2668E+00  0.3729E+00
 1380.0000  120.0000  0.1969E+00  0.3717E+00
 1380.0000  130.0000  0.1564E+00  0.3900E+00
 1380.0000  140.0000  0.1419E+00  0.4252E+00
 1380.0000  150.0000  0.1449E+00  0.4704E+00
 1380.0000  160.0000  0.1555E+00  0.5148E+00
 1380.0000  170.0000  0.1654E+00  0.5470E+00
 1380.0000  179.9000  0.1693E+00  0.5587E+00
 1390.0000    0.1000  0.1708E+01  0.2233E+01
 1390.0000   10.0000  0.1656E+01  0.2154E+01
 1390.0000   20.0000  0.1518E+01  0.1938E+01
 1390.0000   30.0000  0.1337E+01  0.1639E+01
 1390.0000   40.0000  0.1158E+01  0.1319E+01
 1390.0000   50.0000  0.1006E+01  0.1030E+01
 1390.0000   60.0000  0.8792E+00  0.7965E+00
 1390.0000   70.0000  0.7628E+00  0.6250E+00
 1390.0000   80.0000  0.6422E+00  0.5079E+00
 1390.0000   90.0000  0.5155E+00  0.4333E+00
 1390.0000  100.0000  0.3937E+00  0.3908E+00
 1390.0000  110.0000  0.2926E+00  0.3742E+00
 1390.0000  120.0000  0.2239E+00  0.3818E+00
 1390.0000  130.0000  0.1904E+00  0.4131E+00
 1390.0000  140.0000  0.1862E+00  0.4652E+00
 1390.0000  150.0000  0.2003E+00  0.5292E+00
 1390.0000  160.0000  0.2204E+00  0.5911E+00
 1390.0000  170.0000  0.2367E+00  0.6358E+00
 1390.0000  179.9000  0.2428E+00  0.6521E+00
 1400.0000    0.1000  0.1931E+01  0.2295E+01
 1400.0000   10.0000  0.1869E+01  0.2211E+01
 1400.0000   20.0000  0.1705E+01  0.1982E+01
 1400.0000   30.0000  0.1491E+01  0.1666E+01
 1400.0000   40.0000  0.1282E+01  0.1330E+01
 1400.0000   50.0000  0.1105E+01  0.1027E+01
 1400.0000   60.0000  0.9599E+00  0.7852E+00
 1400.0000   70.0000  0.8262E+00  0.6092E+00
 1400.0000   80.0000  0.6884E+00  0.4908E+00
 1400.0000   90.0000  0.5463E+00  0.4172E+00
 1400.0000  100.0000  0.4139E+00  0.3779E+00
 1400.0000  110.0000  0.3098E+00  0.3675E+00
 1400.0000  120.0000  0.2462E+00  0.3853E+00
 1400.0000  130.0000  0.2244E+00  0.4320E+00
 1400.0000  140.0000  0.2355E+00  0.5043E+00
 1400.0000  150.0000  0.2653E+00  0.5913E+00
 1400.0000  160.0000  0.2987E+00  0.6748E+00
 1400.0000  170.0000  0.3238E+00  0.7349E+00
 1400.0000  179.9000  0.3331E+00  0.7567E+00
 1410.0000    0.1000  0.2155E+01  0.2354E+01
 1410.0000   10.0000  0.2082E+01  0.2265E+01
 1410.0000   20.0000  0.1888E+01  0.2022E+01
 1410.0000   30.0000  0.1638E+01  0.1688E+01
 1410.0000   40.0000  0.1395E+01  0.1334E+01
 1410.0000   50.0000  0.1193E+01  0.1017E+01
 1410.0000   60.0000  0.1027E+01  0.7659E+00
 1410.0000   70.0000  0.8751E+00  0.5854E+00
 1410.0000   80.0000  0.7198E+00  0.4657E+00
 1410.0000   90.0000  0.5627E+00  0.3932E+00
 1410.0000  100.0000  0.4213E+00  0.3571E+00
 1410.0000  110.0000  0.3169E+00  0.3529E+00
 1410.0000  120.0000  0.2622E+00  0.3813E+00
 1410.0000  130.0000  0.2566E+00  0.4447E+00
 1410.0000  140.0000  0.2879E+00  0.5397E+00
 1410.0000  150.0000  0.3379E+00  0.6527E+00
 1410.0000  160.0000  0.3884E+00  0.7608E+00
 1410.0000  170.0000  0.4249E+00  0.8386E+00
 1410.0000  179.9000  0.4381E+00  0.8668E+00
 1420.0000    0.1000  0.2394E+01  0.2420E+01
 1420.0000   10.0000  0.2307E+01  0.2325E+01
 1420.0000   20.0000  0.2080E+01  0.2067E+01
 1420.0000   30.0000  0.1787E+01  0.1712E+01
 1420.0000   40.0000  0.1505E+01  0.1338E+01
 1420.0000   50.0000  0.1272E+01  0.1005E+01
 1420.0000   60.0000  0.1083E+01  0.7437E+00
 1420.0000   70.0000  0.9111E+00  0.5575E+00
 1420.0000   80.0000  0.7374E+00  0.4358E+00
 1420.0000   90.0000  0.5653E+00  0.3638E+00
 1420.0000  100.0000  0.4160E+00  0.3303E+00
 1420.0000  110.0000  0.3137E+00  0.3316E+00
 1420.0000  120.0000  0.2714E+00  0.3704E+00
 1420.0000  130.0000  0.2861E+00  0.4507E+00
 1420.0000  140.0000  0.3419E+00  0.5693E+00
 1420.0000  150.0000  0.4165E+00  0.7100E+00
 1420.0000  160.0000  0.4876E+00  0.8445E+00
 1420.0000  170.0000  0.5377E+00  0.9414E+00
 1420.0000  179.9000  0.5557E+00  0.9767E+00
 1430.0000    0.1000  0.2669E+01  0.2506E+01
 1430.0000   10.0000  0.2566E+01  0.2404E+01
 1430.0000   20.0000  0.2297E+01  0.2128E+01
 1430.0000   30.0000  0.1953E+01  0.1750E+01
 1430.0000   40.0000  0.1623E+01  0.1352E+01
 1430.0000   50.0000  0.1352E+01  0.9994E+00
 1430.0000   60.0000  0.1134E+01  0.7242E+00
 1430.0000   70.0000  0.9389E+00  0.5302E+00
 1430.0000   80.0000  0.7445E+00  0.4050E+00
 1430.0000   90.0000  0.5563E+00  0.3322E+00
 1430.0000  100.0000  0.3996E+00  0.3001E+00
 1430.0000  110.0000  0.3012E+00  0.3056E+00
 1430.0000  120.0000  0.2741E+00  0.3537E+00
 1430.0000  130.0000  0.3130E+00  0.4503E+00
 1430.0000  140.0000  0.3974E+00  0.5924E+00
 1430.0000  150.0000  0.5004E+00  0.7611E+00
 1430.0000  160.0000  0.5955E+00  0.9227E+00
 1430.0000  170.0000  0.6615E+00  0.1039E+01
 1430.0000  179.9000  0.6850E+00  0.1082E+01
 1440.0000    0.1000  0.3008E+01  0.2622E+01
 1440.0000   10.0000  0.2886E+01  0.2513E+01
 1440.0000   20.0000  0.2566E+01  0.2215E+01
 1440.0000   30.0000  0.2157E+01  0.1809E+01
 1440.0000   40.0000  0.1765E+01  0.1382E+01
 1440.0000   50.0000  0.1446E+01  0.1005E+01
 1440.0000   60.0000  0.1190E+01  0.7123E+00
 1440.0000   70.0000  0.9645E+00  0.5075E+00
 1440.0000   80.0000  0.7450E+00  0.3766E+00
 1440.0000   90.0000  0.5386E+00  0.3014E+00
 1440.0000  100.0000  0.3741E+00  0.2691E+00
 1440.0000  110.0000  0.2809E+00  0.2775E+00
 1440.0000  120.0000  0.2718E+00  0.3335E+00
 1440.0000  130.0000  0.3383E+00  0.4450E+00
 1440.0000  140.0000  0.4554E+00  0.6096E+00
 1440.0000  150.0000  0.5908E+00  0.8056E+00
 1440.0000  160.0000  0.7131E+00  0.9938E+00
 1440.0000  170.0000  0.7972E+00  0.1130E+01
 1440.0000  179.9000  0.8270E+00  0.1179E+01
 1450.0000    0.1000  0.3442E+01  0.2775E+01
 1450.0000   10.0000  0.3296E+01  0.2657E+01
 1450.0000   20.0000  0.2913E+01  0.2335E+01
 1450.0000   30.0000  0.2422E+01  0.1894E+01
 1450.0000   40.0000  0.1951E+01  0.1433E+01
 1450.0000   50.0000  0.1566E+01  0.1027E+01
 1450.0000   60.0000  0.1260E+01  0.7118E+00
 1450.0000   70.0000  0.9944E+00  0.4927E+00
 1450.0000   80.0000  0.7430E+00  0.3535E+00
 1450.0000   90.0000  0.5146E+00  0.2739E+00
 1450.0000  100.0000  0.3412E+00  0.2399E+00
 1450.0000  110.0000  0.2543E+00  0.2497E+00
 1450.0000  120.0000  0.2660E+00  0.3121E+00
 1450.0000  130.0000  0.3640E+00  0.4371E+00
 1450.0000  140.0000  0.5181E+00  0.6226E+00
 1450.0000  150.0000  0.6900E+00  0.8440E+00
 1450.0000  160.0000  0.8430E+00  0.1057E+01
 1450.0000  170.0000  0.9474E+00  0.1211E+01
 1450.0000  179.9000  0.9843E+00  0.1267E+01
 1460.0000    0.1000  0.4003E+01  0.2966E+01
 1460.0000   10.0000  0.3827E+01  0.2838E+01
 1460.0000   20.0000  0.3366E+01  0.2488E+01
 1460.0000   30.0000  0.2773E+01  0.2010E+01
 1460.0000   40.0000  0.2201E+01  0.1509E+01
 1460.0000   50.0000  0.1730E+01  0.1067E+01
 1460.0000   60.0000  0.1355E+01  0.7256E+00
 1460.0000   70.0000  0.1035E+01  0.4883E+00
 1460.0000   80.0000  0.7417E+00  0.3380E+00
 1460.0000   90.0000  0.4858E+00  0.2519E+00
 1460.0000  100.0000  0.3020E+00  0.2149E+00
 1460.0000  110.0000  0.2228E+00  0.2251E+00
 1460.0000  120.0000  0.2586E+00  0.2929E+00
 1460.0000  130.0000  0.3926E+00  0.4300E+00
 1460.0000  140.0000  0.5884E+00  0.6338E+00
 1460.0000  150.0000  0.8012E+00  0.8771E+00
 1460.0000  160.0000  0.9882E+00  0.1111E+01
 1460.0000  170.0000  0.1115E+01  0.1279E+01
 1460.0000  179.9000  0.1160E+01  0.1340E+01
 1470.0000    0.1000  0.4714E+01  0.3190E+01
 1470.0000   10.0000  0.4504E+01  0.3050E+01
 1470.0000   20.0000  0.3950E+01  0.2672E+01
 1470.0000   30.0000  0.3234E+01  0.2152E+01
 1470.0000   40.0000  0.2536E+01  0.1608E+01
 1470.0000   50.0000  0.1953E+01  0.1127E+01
 1470.0000   60.0000  0.1485E+01  0.7549E+00
 1470.0000   70.0000  0.1091E+01  0.4961E+00
 1470.0000   80.0000  0.7430E+00  0.3319E+00
 1470.0000   90.0000  0.4528E+00  0.2376E+00
 1470.0000  100.0000  0.2570E+00  0.1966E+00
 1470.0000  110.0000  0.1880E+00  0.2073E+00
 1470.0000  120.0000  0.2526E+00  0.2806E+00
 1470.0000  130.0000  0.4278E+00  0.4285E+00
 1470.0000  140.0000  0.6702E+00  0.6470E+00
 1470.0000  150.0000  0.9277E+00  0.9059E+00
 1470.0000  160.0000  0.1151E+01  0.1152E+01
 1470.0000  170.0000  0.1302E+01  0.1329E+01
 1470.0000  179.9000  0.1355E+01  0.1393E+01
 1480.0000    0.1000  0.5597E+01  0.3434E+01
 1480.0000   10.0000  0.5348E+01  0.3284E+01
 1480.0000   20.0000  0.4690E+01  0.2876E+01
 1480.0000   30.0000  0.3830E+01  0.2316E+01
 1480.0000   40.0000  0.2980E+01  0.1727E+01
 1480.0000   50.0000  0.2254E+01  0.1206E+01
 1480.0000   60.0000  0.1663E+01  0.8003E+00
 1480.0000   70.0000  0.1168E+01  0.5168E+00
 1480.0000   80.0000  0.7474E+00  0.3357E+00
 1480.0000   90.0000  0.4147E+00  0.2314E+00
 1480.0000  100.0000  0.2072E+00  0.1869E+00
 1480.0000  110.0000  0.1539E+00  0.2002E+00
 1480.0000  120.0000  0.2547E+00  0.2817E+00
 1480.0000  130.0000  0.4785E+00  0.4408E+00
 1480.0000  140.0000  0.7730E+00  0.6697E+00
 1480.0000  150.0000  0.1079E+01  0.9345E+00
 1480.0000  160.0000  0.1340E+01  0.1181E+01
 1480.0000  170.0000  0.1516E+01  0.1355E+01
 1480.0000  179.9000  0.1577E+01  0.1418E+01
 1490.0000    0.1000  0.6567E+01  0.3575E+01
 1490.0000   10.0000  0.6286E+01  0.3419E+01
 1490.0000   20.0000  0.5537E+01  0.2997E+01
 1490.0000   30.0000  0.4549E+01  0.2415E+01
 1490.0000   40.0000  0.3552E+01  0.1802E+01
 1490.0000   50.0000  0.2675E+01  0.1256E+01
 1490.0000   60.0000  0.1938E+01  0.8263E+00
 1490.0000   70.0000  0.1314E+01  0.5212E+00
 1490.0000   80.0000  0.7905E+00  0.3219E+00
 1490.0000   90.0000  0.3904E+00  0.2049E+00
 1490.0000  100.0000  0.1533E+00  0.1550E+00
 1490.0000  110.0000  0.1035E+00  0.1710E+00
 1490.0000  120.0000  0.2323E+00  0.2602E+00
 1490.0000  130.0000  0.4980E+00  0.4258E+00
 1490.0000  140.0000  0.8386E+00  0.6523E+00
 1490.0000  150.0000  0.1187E+01  0.9017E+00
 1490.0000  160.0000  0.1481E+01  0.1124E+01
 1490.0000  170.0000  0.1677E+01  0.1275E+01
 1490.0000  179.9000  0.1745E+01  0.1328E+01
 1500.0000    0.1000  0.6976E+01  0.3412E+01
 1500.0000   10.0000  0.6686E+01  0.3263E+01
 1500.0000   20.0000  0.5912E+01  0.2859E+01
 1500.0000   30.0000  0.4887E+01  0.2304E+01
 1500.0000   40.0000  0.3841E+01  0.1722E+01
 1500.0000   50.0000  0.2902E+01  0.1206E+01
 1500.0000   60.0000  0.2092E+01  0.8003E+00
 1500.0000   70.0000  0.1393E+01  0.5102E+00
 1500.0000   80.0000  0.8075E+00  0.3180E+00
 1500.0000   90.0000  0.3680E+00  0.2036E+00
 1500.0000  100.0000  0.1152E+00  0.1567E+00
 1500.0000  110.0000  0.6664E-01  0.1781E+00
 1500.0000  120.0000  0.2036E+00  0.2711E+00
 1500.0000  130.0000  0.4761E+00  0.4290E+00
 1500.0000  140.0000  0.8175E+00  0.6260E+00
 1500.0000  150.0000  0.1160E+01  0.8215E+00
 1500.0000  160.0000  0.1445E+01  0.9769E+00
 1500.0000  170.0000  0.1632E+01  0.1071E+01
 1500.0000  179.9000  0.1696E+01  0.1102E+01
 1510.0000    0.1000  0.7035E+01  0.3102E+01
 1510.0000   10.0000  0.6751E+01  0.2965E+01
 1510.0000   20.0000  0.5995E+01  0.2596E+01
 1510.0000   30.0000  0.4991E+01  0.2093E+01
 1510.0000   40.0000  0.3955E+01  0.1569E+01
 1510.0000   50.0000  0.3004E+01  0.1109E+01
 1510.0000   60.0000  0.2160E+01  0.7493E+00
 1510.0000   70.0000  0.1417E+01  0.4901E+00
 1510.0000   80.0000  0.7956E+00  0.3149E+00
 1510.0000   90.0000  0.3411E+00  0.2104E+00
 1510.0000  100.0000  0.9375E-01  0.1742E+00
 1510.0000  110.0000  0.5995E-01  0.2104E+00
 1510.0000  120.0000  0.2073E+00  0.3165E+00
 1510.0000  130.0000  0.4764E+00  0.4710E+00
 1510.0000  140.0000  0.7977E+00  0.6329E+00
 1510.0000  150.0000  0.1107E+01  0.7577E+00
 1510.0000  160.0000  0.1356E+01  0.8231E+00
 1510.0000  170.0000  0.1514E+01  0.8410E+00
 1510.0000  179.9000  0.1568E+01  0.8418E+00
 1520.0000    0.1000  0.6678E+01  0.2669E+01
 1520.0000   10.0000  0.6414E+01  0.2548E+01
 1520.0000   20.0000  0.5715E+01  0.2224E+01
 1520.0000   30.0000  0.4791E+01  0.1787E+01
 1520.0000   40.0000  0.3834E+01  0.1342E+01
 1520.0000   50.0000  0.2941E+01  0.9580E+00
 1520.0000   60.0000  0.2123E+01  0.6620E+00
 1520.0000   70.0000  0.1385E+01  0.4472E+00
 1520.0000   80.0000  0.7642E+00  0.2983E+00
 1520.0000   90.0000  0.3204E+00  0.2095E+00
 1520.0000  100.0000  0.9362E-01  0.1887E+00
 1520.0000  110.0000  0.7945E-01  0.2450E+00
 1520.0000  120.0000  0.2318E+00  0.3699E+00
 1520.0000  130.0000  0.4822E+00  0.5256E+00
 1520.0000  140.0000  0.7606E+00  0.6532E+00
 1520.0000  150.0000  0.1011E+01  0.7033E+00
 1520.0000  160.0000  0.1198E+01  0.6712E+00
 1520.0000  170.0000  0.1309E+01  0.6053E+00
 1520.0000  179.9000  0.1346E+01  0.5729E+00
 1530.0000    0.1000  0.6079E+01  0.2226E+01
 1530.0000   10.0000  0.5838E+01  0.2119E+01
 1530.0000   20.0000  0.5204E+01  0.1835E+01
 1530.0000   30.0000  0.4379E+01  0.1460E+01
 1530.0000   40.0000  0.3536E+01  0.1090E+01
 1530.0000   50.0000  0.2746E+01  0.7822E+00
 1530.0000   60.0000  0.2004E+01  0.5525E+00
 1530.0000   70.0000  0.1313E+01  0.3858E+00
 1530.0000   80.0000  0.7239E+00  0.2661E+00
 1530.0000   90.0000  0.3083E+00  0.1947E+00
 1530.0000  100.0000  0.1090E+00  0.1896E+00
 1530.0000  110.0000  0.1143E+00  0.2664E+00
 1530.0000  120.0000  0.2670E+00  0.4123E+00
 1530.0000  130.0000  0.4913E+00  0.5748E+00
 1530.0000  140.0000  0.7172E+00  0.6777E+00
 1530.0000  150.0000  0.8970E+00  0.6657E+00
 1530.0000  160.0000  0.1012E+01  0.5486E+00
 1530.0000  170.0000  0.1069E+01  0.4083E+00
 1530.0000  179.9000  0.1086E+01  0.3462E+00
 1540.0000    0.1000  0.5472E+01  0.1864E+01
 1540.0000   10.0000  0.5244E+01  0.1765E+01
 1540.0000   20.0000  0.4652E+01  0.1506E+01
 1540.0000   30.0000  0.3904E+01  0.1174E+01
 1540.0000   40.0000  0.3168E+01  0.8596E+00
 1540.0000   50.0000  0.2492E+01  0.6138E+00
 1540.0000   60.0000  0.1847E+01  0.4410E+00
 1540.0000   70.0000  0.1226E+01  0.3178E+00
 1540.0000   80.0000  0.6839E+00  0.2251E+00
 1540.0000   90.0000  0.3026E+00  0.1689E+00
 1540.0000  100.0000  0.1303E+00  0.1765E+00
 1540.0000  110.0000  0.1525E+00  0.2704E+00
 1540.0000  120.0000  0.3048E+00  0.4366E+00
 1540.0000  130.0000  0.5049E+00  0.6110E+00
 1540.0000  140.0000  0.6820E+00  0.7024E+00
 1540.0000  150.0000  0.7954E+00  0.6480E+00
 1540.0000  160.0000  0.8413E+00  0.4679E+00
 1540.0000  170.0000  0.8456E+00  0.2701E+00
 1540.0000  179.9000  0.8421E+00  0.1847E+00
 1550.0000    0.1000  0.5021E+01  0.1617E+01
 1550.0000   10.0000  0.4788E+01  0.1521E+01
 1550.0000   20.0000  0.4196E+01  0.1270E+01
 1550.0000   30.0000  0.3478E+01  0.9564E+00
 1550.0000   40.0000  0.2813E+01  0.6734E+00
 1550.0000   50.0000  0.2234E+01  0.4697E+00
 1550.0000   60.0000  0.1685E+01  0.3408E+00
 1550.0000   70.0000  0.1140E+01  0.2537E+00
 1550.0000   80.0000  0.6480E+00  0.1839E+00
 1550.0000   90.0000  0.2998E+00  0.1393E+00
 1550.0000  100.0000  0.1512E+00  0.1552E+00
 1550.0000  110.0000  0.1888E+00  0.2619E+00
 1550.0000  120.0000  0.3437E+00  0.4465E+00
 1550.0000  130.0000  0.5274E+00  0.6370E+00
 1550.0000  140.0000  0.6662E+00  0.7287E+00
 1550.0000  150.0000  0.7236E+00  0.6500E+00
 1550.0000  160.0000  0.7083E+00  0.4266E+00
 1550.0000  170.0000  0.6646E+00  0.1867E+00
 1550.0000  179.9000  0.6428E+00  0.8388E-01
 1560.0000    0.1000  0.4801E+01  0.1484E+01
 1560.0000   10.0000  0.4545E+01  0.1384E+01
 1560.0000   20.0000  0.3905E+01  0.1124E+01
 1560.0000   30.0000  0.3157E+01  0.8063E+00
 1560.0000   40.0000  0.2513E+01  0.5328E+00
 1560.0000   50.0000  0.2001E+01  0.3533E+00
 1560.0000   60.0000  0.1535E+01  0.2567E+00
 1560.0000   70.0000  0.1060E+01  0.1992E+00
 1560.0000   80.0000  0.6163E+00  0.1484E+00
 1560.0000   90.0000  0.2979E+00  0.1119E+00
 1560.0000  100.0000  0.1701E+00  0.1319E+00
 1560.0000  110.0000  0.2240E+00  0.2474E+00
 1560.0000  120.0000  0.3874E+00  0.4492E+00
 1560.0000  130.0000  0.5647E+00  0.6592E+00
 1560.0000  140.0000  0.6768E+00  0.7602E+00
 1560.0000  150.0000  0.6882E+00  0.6704E+00
 1560.0000  160.0000  0.6187E+00  0.4171E+00
 1560.0000  170.0000  0.5306E+00  0.1451E+00
 1560.0000  179.9000  0.4916E+00  0.2847E-01
 1570.0000    0.1000  0.4845E+01  0.1451E+01
 1570.0000   10.0000  0.4545E+01  0.1340E+01
 1570.0000   20.0000  0.3804E+01  0.1056E+01
 1570.0000   30.0000  0.2964E+01  0.7144E+00
 1570.0000   40.0000  0.2285E+01  0.4311E+00
 1570.0000   50.0000  0.1802E+01  0.2613E+00
 1570.0000   60.0000  0.1401E+01  0.1884E+00
 1570.0000   70.0000  0.9884E+00  0.1564E+00
 1570.0000   80.0000  0.5879E+00  0.1221E+00
 1570.0000   90.0000  0.2961E+00  0.9061E-01
 1570.0000  100.0000  0.1883E+00  0.1107E+00
 1570.0000  110.0000  0.2616E+00  0.2318E+00
 1570.0000  120.0000  0.4413E+00  0.4502E+00
 1570.0000  130.0000  0.6229E+00  0.6834E+00
 1570.0000  140.0000  0.7185E+00  0.8008E+00
 1570.0000  150.0000  0.6910E+00  0.7081E+00
 1570.0000  160.0000  0.5705E+00  0.4323E+00
 1570.0000  170.0000  0.4386E+00  0.1330E+00
 1570.0000  179.9000  0.3823E+00  0.4124E-02
 1580.0000    0.1000  0.5171E+01  0.1505E+01
 1580.0000   10.0000  0.4806E+01  0.1379E+01
 1580.0000   20.0000  0.3908E+01  0.1056E+01
 1580.0000   30.0000  0.2906E+01  0.6720E+00
 1580.0000   40.0000  0.2133E+01  0.3615E+00
 1580.0000   50.0000  0.1640E+01  0.1894E+00
 1580.0000   60.0000  0.1281E+01  0.1344E+00
 1580.0000   70.0000  0.9226E+00  0.1259E+00
 1580.0000   80.0000  0.5618E+00  0.1068E+00
 1580.0000   90.0000  0.2948E+00  0.7770E-01
 1580.0000  100.0000  0.2078E+00  0.9418E-01
 1580.0000  110.0000  0.3055E+00  0.2180E+00
 1580.0000  120.0000  0.5106E+00  0.4535E+00
 1580.0000  130.0000  0.7073E+00  0.7138E+00
 1580.0000  140.0000  0.7950E+00  0.8536E+00
 1580.0000  150.0000  0.7327E+00  0.7632E+00
 1580.0000  160.0000  0.5605E+00  0.4679E+00
 1580.0000  170.0000  0.3821E+00  0.1419E+00
 1580.0000  179.9000  0.3070E+00  0.9070E-03
 1590.0000    0.1000  0.5799E+01  0.1645E+01
 1590.0000   10.0000  0.5345E+01  0.1498E+01
 1590.0000   20.0000  0.4231E+01  0.1121E+01
 1590.0000   30.0000  0.2993E+01  0.6748E+00
 1590.0000   40.0000  0.2059E+01  0.3197E+00
 1590.0000   50.0000  0.1512E+01  0.1344E+00
 1590.0000   60.0000  0.1174E+01  0.9311E-01
 1590.0000   70.0000  0.8606E+00  0.1080E+00
 1590.0000   80.0000  0.5369E+00  0.1040E+00
 1590.0000   90.0000  0.2943E+00  0.7471E-01
 1590.0000  100.0000  0.2302E+00  0.8349E-01
 1590.0000  110.0000  0.3587E+00  0.2074E+00
 1590.0000  120.0000  0.5996E+00  0.4609E+00
 1590.0000  130.0000  0.8225E+00  0.7531E+00
 1590.0000  140.0000  0.9100E+00  0.9208E+00
 1590.0000  150.0000  0.8143E+00  0.8363E+00
 1590.0000  160.0000  0.5862E+00  0.5214E+00
 1590.0000  170.0000  0.3556E+00  0.1671E+00
