    W        Theta    pip-n       pi0-p
 1130.0000  179.9000  0.2612E+00  0.4269E+00
 1140.0000    0.1000  0.7287E-02  0.2815E+00
 1140.0000   10.0000  0.7137E-02  0.2806E+00
 1140.0000   20.0000  0.6895E-02  0.2783E+00
 1140.0000   30.0000  0.7134E-02  0.2750E+00
 1140.0000   40.0000  0.8657E-02  0.2718E+00
 1140.0000   50.0000  0.1234E-01  0.2696E+00
 1140.0000   60.0000  0.1900E-01  0.2695E+00
 1140.0000   70.0000  0.2932E-01  0.2723E+00
 1140.0000   80.0000  0.4378E-01  0.2786E+00
 1140.0000   90.0000  0.6261E-01  0.2890E+00
 1140.0000  100.0000  0.8567E-01  0.3034E+00
 1140.0000  110.0000  0.1124E+00  0.3215E+00
 1140.0000  120.0000  0.1416E+00  0.3425E+00
 1140.0000  130.0000  0.1718E+00  0.3651E+00
 1140.0000  140.0000  0.2009E+00  0.3875E+00
 1140.0000  150.0000  0.2265E+00  0.4080E+00
 1140.0000  160.0000  0.2467E+00  0.4244E+00
 1140.0000  170.0000  0.2596E+00  0.4350E+00
 1140.0000  179.9000  0.2640E+00  0.4387E+00
 1150.0000    0.1000  0.1030E-01  0.2948E+00
 1150.0000   10.0000  0.9881E-02  0.2934E+00
 1150.0000   20.0000  0.8845E-02  0.2892E+00
 1150.0000   30.0000  0.7830E-02  0.2833E+00
 1150.0000   40.0000  0.7717E-02  0.2769E+00
 1150.0000   50.0000  0.9472E-02  0.2714E+00
 1150.0000   60.0000  0.1402E-01  0.2682E+00
 1150.0000   70.0000  0.2220E-01  0.2684E+00
 1150.0000   80.0000  0.3468E-01  0.2729E+00
 1150.0000   90.0000  0.5191E-01  0.2822E+00
 1150.0000  100.0000  0.7399E-01  0.2965E+00
 1150.0000  110.0000  0.1005E+00  0.3154E+00
 1150.0000  120.0000  0.1304E+00  0.3380E+00
 1150.0000  130.0000  0.1620E+00  0.3630E+00
 1150.0000  140.0000  0.1929E+00  0.3884E+00
 1150.0000  150.0000  0.2206E+00  0.4117E+00
 1150.0000  160.0000  0.2426E+00  0.4306E+00
 1150.0000  170.0000  0.2567E+00  0.4430E+00
 1150.0000  179.9000  0.2615E+00  0.4473E+00
 1160.0000    0.1000  0.1408E-01  0.3124E+00
 1160.0000   10.0000  0.1347E-01  0.3102E+00
 1160.0000   20.0000  0.1187E-01  0.3039E+00
 1160.0000   30.0000  0.9910E-02  0.2948E+00
 1160.0000   40.0000  0.8459E-02  0.2846E+00
 1160.0000   50.0000  0.8477E-02  0.2752E+00
 1160.0000   60.0000  0.1093E-01  0.2683E+00
 1160.0000   70.0000  0.1675E-01  0.2654E+00
 1160.0000   80.0000  0.2681E-01  0.2675E+00
 1160.0000   90.0000  0.4183E-01  0.2752E+00
 1160.0000  100.0000  0.6219E-01  0.2888E+00
 1160.0000  110.0000  0.8771E-01  0.3080E+00
 1160.0000  120.0000  0.1175E+00  0.3319E+00
 1160.0000  130.0000  0.1497E+00  0.3589E+00
 1160.0000  140.0000  0.1818E+00  0.3867E+00
 1160.0000  150.0000  0.2111E+00  0.4127E+00
 1160.0000  160.0000  0.2345E+00  0.4340E+00
 1160.0000  170.0000  0.2496E+00  0.4479E+00
 1160.0000  179.9000  0.2548E+00  0.4528E+00
 1170.0000    0.1000  0.1762E-01  0.3342E+00
 1170.0000   10.0000  0.1693E-01  0.3311E+00
 1170.0000   20.0000  0.1507E-01  0.3223E+00
 1170.0000   30.0000  0.1259E-01  0.3095E+00
 1170.0000   40.0000  0.1026E-01  0.2949E+00
 1170.0000   50.0000  0.8923E-02  0.2809E+00
 1170.0000   60.0000  0.9497E-02  0.2698E+00
 1170.0000   70.0000  0.1298E-01  0.2633E+00
 1170.0000   80.0000  0.2042E-01  0.2626E+00
 1170.0000   90.0000  0.3282E-01  0.2683E+00
 1170.0000  100.0000  0.5089E-01  0.2809E+00
 1170.0000  110.0000  0.7476E-01  0.2999E+00
 1170.0000  120.0000  0.1037E+00  0.3245E+00
 1170.0000  130.0000  0.1359E+00  0.3530E+00
 1170.0000  140.0000  0.1687E+00  0.3830E+00
 1170.0000  150.0000  0.1990E+00  0.4113E+00
 1170.0000  160.0000  0.2235E+00  0.4347E+00
 1170.0000  170.0000  0.2394E+00  0.4502E+00
 1170.0000  179.9000  0.2449E+00  0.4556E+00
 1180.0000    0.1000  0.2030E-01  0.3603E+00
 1180.0000   10.0000  0.1964E-01  0.3562E+00
 1180.0000   20.0000  0.1784E-01  0.3445E+00
 1180.0000   30.0000  0.1532E-01  0.3274E+00
 1180.0000   40.0000  0.1264E-01  0.3078E+00
 1180.0000   50.0000  0.1045E-01  0.2887E+00
 1180.0000   60.0000  0.9529E-02  0.2729E+00
 1180.0000   70.0000  0.1086E-01  0.2623E+00
 1180.0000   80.0000  0.1567E-01  0.2584E+00
 1180.0000   90.0000  0.2522E-01  0.2618E+00
 1180.0000  100.0000  0.4061E-01  0.2729E+00
 1180.0000  110.0000  0.6230E-01  0.2913E+00
 1180.0000  120.0000  0.8980E-01  0.3162E+00
 1180.0000  130.0000  0.1214E+00  0.3458E+00
 1180.0000  140.0000  0.1544E+00  0.3775E+00
 1180.0000  150.0000  0.1853E+00  0.4078E+00
 1180.0000  160.0000  0.2105E+00  0.4332E+00
 1180.0000  170.0000  0.2271E+00  0.4500E+00
 1180.0000  179.9000  0.2328E+00  0.4559E+00
 1190.0000    0.1000  0.2181E-01  0.3908E+00
 1190.0000   10.0000  0.2130E-01  0.3854E+00
 1190.0000   20.0000  0.1987E-01  0.3705E+00
 1190.0000   30.0000  0.1777E-01  0.3485E+00
 1190.0000   40.0000  0.1529E-01  0.3233E+00
 1190.0000   50.0000  0.1279E-01  0.2987E+00
 1190.0000   60.0000  0.1084E-01  0.2777E+00
 1190.0000   70.0000  0.1036E-01  0.2627E+00
 1190.0000   80.0000  0.1267E-01  0.2553E+00
 1190.0000   90.0000  0.1932E-01  0.2561E+00
 1190.0000  100.0000  0.3178E-01  0.2653E+00
 1190.0000  110.0000  0.5091E-01  0.2828E+00
 1190.0000  120.0000  0.7652E-01  0.3075E+00
 1190.0000  130.0000  0.1071E+00  0.3378E+00
 1190.0000  140.0000  0.1397E+00  0.3707E+00
 1190.0000  150.0000  0.1708E+00  0.4027E+00
 1190.0000  160.0000  0.1965E+00  0.4297E+00
 1190.0000  170.0000  0.2134E+00  0.4477E+00
 1190.0000  179.9000  0.2193E+00  0.4540E+00
 1200.0000    0.1000  0.2211E-01  0.4259E+00
 1200.0000   10.0000  0.2184E-01  0.4192E+00
 1200.0000   20.0000  0.2107E-01  0.4005E+00
 1200.0000   30.0000  0.1980E-01  0.3731E+00
 1200.0000   40.0000  0.1802E-01  0.3417E+00
 1200.0000   50.0000  0.1574E-01  0.3109E+00
 1200.0000   60.0000  0.1326E-01  0.2843E+00
 1200.0000   70.0000  0.1138E-01  0.2647E+00
 1200.0000   80.0000  0.1145E-01  0.2534E+00
 1200.0000   90.0000  0.1527E-01  0.2513E+00
 1200.0000  100.0000  0.2467E-01  0.2585E+00
 1200.0000  110.0000  0.4096E-01  0.2746E+00
 1200.0000  120.0000  0.6432E-01  0.2988E+00
 1200.0000  130.0000  0.9339E-01  0.3292E+00
 1200.0000  140.0000  0.1253E+00  0.3630E+00
 1200.0000  150.0000  0.1563E+00  0.3963E+00
 1200.0000  160.0000  0.1821E+00  0.4246E+00
 1200.0000  170.0000  0.1993E+00  0.4436E+00
 1200.0000  179.9000  0.2052E+00  0.4503E+00
 1210.0000    0.1000  0.2142E-01  0.4658E+00
 1210.0000   10.0000  0.2148E-01  0.4576E+00
 1210.0000   20.0000  0.2158E-01  0.4348E+00
 1210.0000   30.0000  0.2150E-01  0.4014E+00
 1210.0000   40.0000  0.2084E-01  0.3631E+00
 1210.0000   50.0000  0.1925E-01  0.3255E+00
 1210.0000   60.0000  0.1670E-01  0.2929E+00
 1210.0000   70.0000  0.1383E-01  0.2682E+00
 1210.0000   80.0000  0.1199E-01  0.2530E+00
 1210.0000   90.0000  0.1313E-01  0.2478E+00
 1210.0000  100.0000  0.1945E-01  0.2525E+00
 1210.0000  110.0000  0.3272E-01  0.2670E+00
 1210.0000  120.0000  0.5353E-01  0.2903E+00
 1210.0000  130.0000  0.8076E-01  0.3205E+00
 1210.0000  140.0000  0.1116E+00  0.3548E+00
 1210.0000  150.0000  0.1421E+00  0.3889E+00
 1210.0000  160.0000  0.1678E+00  0.4182E+00
 1210.0000  170.0000  0.1850E+00  0.4380E+00
 1210.0000  179.9000  0.1911E+00  0.4450E+00
 1220.0000    0.1000  0.2022E-01  0.5111E+00
 1220.0000   10.0000  0.2065E-01  0.5013E+00
 1220.0000   20.0000  0.2180E-01  0.4737E+00
 1220.0000   30.0000  0.2314E-01  0.4336E+00
 1220.0000   40.0000  0.2390E-01  0.3877E+00
 1220.0000   50.0000  0.2335E-01  0.3427E+00
 1220.0000   60.0000  0.2114E-01  0.3037E+00
 1220.0000   70.0000  0.1769E-01  0.2737E+00
 1220.0000   80.0000  0.1424E-01  0.2542E+00
 1220.0000   90.0000  0.1289E-01  0.2456E+00
 1220.0000  100.0000  0.1616E-01  0.2478E+00
 1220.0000  110.0000  0.2629E-01  0.2604E+00
 1220.0000  120.0000  0.4432E-01  0.2823E+00
 1220.0000  130.0000  0.6944E-01  0.3119E+00
 1220.0000  140.0000  0.9891E-01  0.3462E+00
 1220.0000  150.0000  0.1286E+00  0.3808E+00
 1220.0000  160.0000  0.1540E+00  0.4108E+00
 1220.0000  170.0000  0.1711E+00  0.4312E+00
 1220.0000  179.9000  0.1771E+00  0.4385E+00
 1230.0000    0.1000  0.1928E-01  0.5622E+00
 1230.0000   10.0000  0.2013E-01  0.5505E+00
 1230.0000   20.0000  0.2238E-01  0.5176E+00
 1230.0000   30.0000  0.2525E-01  0.4700E+00
 1230.0000   40.0000  0.2758E-01  0.4158E+00
 1230.0000   50.0000  0.2828E-01  0.3628E+00
 1230.0000   60.0000  0.2669E-01  0.3168E+00
 1230.0000   70.0000  0.2296E-01  0.2812E+00
 1230.0000   80.0000  0.1821E-01  0.2572E+00
 1230.0000   90.0000  0.1455E-01  0.2451E+00
 1230.0000  100.0000  0.1481E-01  0.2445E+00
 1230.0000  110.0000  0.2170E-01  0.2548E+00
 1230.0000  120.0000  0.3676E-01  0.2751E+00
 1230.0000  130.0000  0.5950E-01  0.3036E+00
 1230.0000  140.0000  0.8730E-01  0.3375E+00
 1230.0000  150.0000  0.1160E+00  0.3722E+00
 1230.0000  160.0000  0.1408E+00  0.4026E+00
 1230.0000  170.0000  0.1577E+00  0.4234E+00
 1230.0000  179.9000  0.1636E+00  0.4308E+00
 1240.0000    0.1000  0.1973E-01  0.6196E+00
 1240.0000   10.0000  0.2097E-01  0.6058E+00
 1240.0000   20.0000  0.2430E-01  0.5671E+00
 1240.0000   30.0000  0.2864E-01  0.5112E+00
 1240.0000   40.0000  0.3249E-01  0.4478E+00
 1240.0000   50.0000  0.3446E-01  0.3860E+00
