    W        Theta    pi0-p       pip-n
 1130.0000  179.9000  0.5507E-02  0.4269E+00
 1140.0000    0.1000  0.1600E+00  0.2815E+00
 1140.0000   10.0000  0.1563E+00  0.2806E+00
 1140.0000   20.0000  0.1459E+00  0.2783E+00
 1140.0000   30.0000  0.1302E+00  0.2750E+00
 1140.0000   40.0000  0.1116E+00  0.2718E+00
 1140.0000   50.0000  0.9231E-01  0.2696E+00
 1140.0000   60.0000  0.7404E-01  0.2695E+00
 1140.0000   70.0000  0.5805E-01  0.2723E+00
 1140.0000   80.0000  0.4489E-01  0.2786E+00
 1140.0000   90.0000  0.3460E-01  0.2890E+00
 1140.0000  100.0000  0.2685E-01  0.3034E+00
 1140.0000  110.0000  0.2115E-01  0.3215E+00
 1140.0000  120.0000  0.1693E-01  0.3425E+00
 1140.0000  130.0000  0.1370E-01  0.3651E+00
 1140.0000  140.0000  0.1111E-01  0.3875E+00
 1140.0000  150.0000  0.8976E-02  0.4080E+00
 1140.0000  160.0000  0.7315E-02  0.4244E+00
 1140.0000  170.0000  0.6234E-02  0.4350E+00
 1140.0000  179.9000  0.5856E-02  0.4387E+00
 1150.0000    0.1000  0.1942E+00  0.2948E+00
 1150.0000   10.0000  0.1896E+00  0.2934E+00
 1150.0000   20.0000  0.1767E+00  0.2892E+00
 1150.0000   30.0000  0.1576E+00  0.2833E+00
 1150.0000   40.0000  0.1349E+00  0.2769E+00
 1150.0000   50.0000  0.1116E+00  0.2714E+00
 1150.0000   60.0000  0.8980E-01  0.2682E+00
 1150.0000   70.0000  0.7080E-01  0.2684E+00
 1150.0000   80.0000  0.5520E-01  0.2729E+00
 1150.0000   90.0000  0.4296E-01  0.2822E+00
 1150.0000  100.0000  0.3365E-01  0.2965E+00
 1150.0000  110.0000  0.2666E-01  0.3154E+00
 1150.0000  120.0000  0.2132E-01  0.3380E+00
 1150.0000  130.0000  0.1708E-01  0.3630E+00
 1150.0000  140.0000  0.1354E-01  0.3884E+00
 1150.0000  150.0000  0.1054E-01  0.4117E+00
 1150.0000  160.0000  0.8142E-02  0.4306E+00
 1150.0000  170.0000  0.6563E-02  0.4430E+00
 1150.0000  179.9000  0.6009E-02  0.4473E+00
 1160.0000    0.1000  0.2272E+00  0.3124E+00
 1160.0000   10.0000  0.2218E+00  0.3102E+00
 1160.0000   20.0000  0.2066E+00  0.3039E+00
 1160.0000   30.0000  0.1841E+00  0.2948E+00
