    W        Theta    pi0-p       pip-n
 1340.0000   10.0000  0.2788E+00  0.1633E+01
 1340.0000   20.0000  0.2854E+00  0.1487E+01
 1340.0000   30.0000  0.2947E+00  0.1281E+01
 1340.0000   40.0000  0.3040E+00  0.1058E+01
 1340.0000   50.0000  0.3094E+00  0.8502E+00
 1340.0000   60.0000  0.3061E+00  0.6776E+00
 1340.0000   70.0000  0.2904E+00  0.5458E+00
 1340.0000   80.0000  0.2615E+00  0.4512E+00
 1340.0000   90.0000  0.2227E+00  0.3861E+00
 1340.0000  100.0000  0.1807E+00  0.3428E+00
 1340.0000  110.0000  0.1425E+00  0.3158E+00
 1340.0000  120.0000  0.1125E+00  0.3020E+00
 1340.0000  130.0000  0.9118E-01  0.3001E+00
 1340.0000  140.0000  0.7629E-01  0.3082E+00
 1340.0000  150.0000  0.6506E-01  0.3229E+00
 1340.0000  160.0000  0.5600E-01  0.3389E+00
 1340.0000  170.0000  0.4958E-01  0.3510E+00
 1340.0000  179.9000  0.4719E-01  0.3555E+00
 1350.0000    0.1000  0.2993E+00  0.1825E+01
 1350.0000   10.0000  0.3020E+00  0.1766E+01
 1350.0000   20.0000  0.3098E+00  0.1605E+01
 1350.0000   30.0000  0.3210E+00  0.1379E+01
 1350.0000   40.0000  0.3324E+00  0.1135E+01
 1350.0000   50.0000  0.3394E+00  0.9082E+00
 1350.0000   60.0000  0.3363E+00  0.7210E+00
 1350.0000   70.0000  0.3185E+00  0.5788E+00
 1350.0000   80.0000  0.2853E+00  0.4773E+00
 1350.0000   90.0000  0.2408E+00  0.4080E+00
 1350.0000  100.0000  0.1930E+00  0.3622E+00
 1350.0000  110.0000  0.1498E+00  0.3339E+00
 1350.0000  120.0000  0.1161E+00  0.3198E+00
 1350.0000  130.0000  0.9226E-01  0.3183E+00
 1350.0000  140.0000  0.7564E-01  0.3277E+00
 1350.0000  150.0000  0.6308E-01  0.3441E+00
 1350.0000  160.0000  0.5293E-01  0.3619E+00
 1350.0000  170.0000  0.4573E-01  0.3753E+00
 1350.0000  179.9000  0.4306E-01  0.3802E+00
 1360.0000    0.1000  0.3352E+00  0.1952E+01
 1360.0000   10.0000  0.3380E+00  0.1888E+01
 1360.0000   20.0000  0.3460E+00  0.1713E+01
 1360.0000   30.0000  0.3576E+00  0.1467E+01
 1360.0000   40.0000  0.3699E+00  0.1202E+01
 1360.0000   50.0000  0.3773E+00  0.9580E+00
 1360.0000   60.0000  0.3732E+00  0.7571E+00
 1360.0000   70.0000  0.3521E+00  0.6056E+00
 1360.0000   80.0000  0.3132E+00  0.4983E+00
 1360.0000   90.0000  0.2616E+00  0.4257E+00
 1360.0000  100.0000  0.2069E+00  0.3788E+00
 1360.0000  110.0000  0.1580E+00  0.3509E+00
 1360.0000  120.0000  0.1202E+00  0.3386E+00
 1360.0000  130.0000  0.9350E-01  0.3404E+00
 1360.0000  140.0000  0.7472E-01  0.3543E+00
 1360.0000  150.0000  0.6022E-01  0.3759E+00
 1360.0000  160.0000  0.4834E-01  0.3986E+00
 1360.0000  170.0000  0.3984E-01  0.4154E+00
 1360.0000  179.9000  0.3668E-01  0.4215E+00
 1370.0000    0.1000  0.3830E+00  0.2064E+01
 1370.0000   10.0000  0.3854E+00  0.1995E+01
 1370.0000   20.0000  0.3925E+00  0.1805E+01
 1370.0000   30.0000  0.4035E+00  0.1541E+01
 1370.0000   40.0000  0.4153E+00  0.1257E+01
 1370.0000   50.0000  0.4220E+00  0.9959E+00
 1370.0000   60.0000  0.4157E+00  0.7829E+00
 1370.0000   70.0000  0.3900E+00  0.6233E+00
 1370.0000   80.0000  0.3441E+00  0.5114E+00
 1370.0000   90.0000  0.2844E+00  0.4370E+00
 1370.0000  100.0000  0.2218E+00  0.3903E+00
 1370.0000  110.0000  0.1669E+00  0.3646E+00
 1370.0000  120.0000  0.1249E+00  0.3566E+00
 1370.0000  130.0000  0.9525E-01  0.3650E+00
 1370.0000  140.0000  0.7401E-01  0.3874E+00
 1370.0000  150.0000  0.5704E-01  0.4185E+00
 1370.0000  160.0000  0.4271E-01  0.4498E+00
 1370.0000  170.0000  0.3234E-01  0.4727E+00
 1370.0000  179.9000  0.2846E-01  0.4811E+00
 1380.0000    0.1000  0.4398E+00  0.2157E+01
 1380.0000   10.0000  0.4415E+00  0.2083E+01
 1380.0000   20.0000  0.4469E+00  0.1880E+01
 1380.0000   30.0000  0.4560E+00  0.1598E+01
 1380.0000   40.0000  0.4664E+00  0.1296E+01
 1380.0000   50.0000  0.4715E+00  0.1020E+01
 1380.0000   60.0000  0.4621E+00  0.7962E+00
 1380.0000   70.0000  0.4308E+00  0.6300E+00
 1380.0000   80.0000  0.3767E+00  0.5149E+00
 1380.0000   90.0000  0.3078E+00  0.4399E+00
 1380.0000  100.0000  0.2370E+00  0.3948E+00
 1380.0000  110.0000  0.1760E+00  0.3729E+00
 1380.0000  120.0000  0.1301E+00  0.3717E+00
 1380.0000  130.0000  0.9789E-01  0.3900E+00
 1380.0000  140.0000  0.7417E-01  0.4252E+00
 1380.0000  150.0000  0.5431E-01  0.4704E+00
 1380.0000  160.0000  0.3691E-01  0.5148E+00
 1380.0000  170.0000  0.2409E-01  0.5470E+00
 1380.0000  179.9000  0.1927E-01  0.5587E+00
 1390.0000    0.1000  0.5020E+00  0.2233E+01
 1390.0000   10.0000  0.5027E+00  0.2154E+01
 1390.0000   20.0000  0.5056E+00  0.1938E+01
 1390.0000   30.0000  0.5119E+00  0.1639E+01
 1390.0000   40.0000  0.5200E+00  0.1319E+01
 1390.0000   50.0000  0.5228E+00  0.1030E+01
 1390.0000   60.0000  0.5097E+00  0.7965E+00
 1390.0000   70.0000  0.4719E+00  0.6250E+00
 1390.0000   80.0000  0.4090E+00  0.5079E+00
 1390.0000   90.0000  0.3303E+00  0.4333E+00
 1390.0000  100.0000  0.2513E+00  0.3908E+00
 1390.0000  110.0000  0.1848E+00  0.3742E+00
 1390.0000  120.0000  0.1358E+00  0.3818E+00
 1390.0000  130.0000  0.1017E+00  0.4131E+00
 1390.0000  140.0000  0.7589E-01  0.4652E+00
 1390.0000  150.0000  0.5301E-01  0.5292E+00
 1390.0000  160.0000  0.3208E-01  0.5911E+00
 1390.0000  170.0000  0.1633E-01  0.6358E+00
 1390.0000  179.9000  0.1037E-01  0.6521E+00
 1400.0000    0.1000  0.5661E+00  0.2295E+01
 1400.0000   10.0000  0.5655E+00  0.2211E+01
 1400.0000   20.0000  0.5651E+00  0.1982E+01
 1400.0000   30.0000  0.5677E+00  0.1666E+01
 1400.0000   40.0000  0.5728E+00  0.1330E+01
 1400.0000   50.0000  0.5729E+00  0.1027E+01
 1400.0000   60.0000  0.5557E+00  0.7852E+00
 1400.0000   70.0000  0.5110E+00  0.6092E+00
 1400.0000   80.0000  0.4387E+00  0.4908E+00
 1400.0000   90.0000  0.3503E+00  0.4172E+00
 1400.0000  100.0000  0.2634E+00  0.3779E+00
 1400.0000  110.0000  0.1924E+00  0.3675E+00
 1400.0000  120.0000  0.1418E+00  0.3853E+00
 1400.0000  130.0000  0.1070E+00  0.4320E+00
 1400.0000  140.0000  0.7984E-01  0.5043E+00
 1400.0000  150.0000  0.5420E-01  0.5913E+00
 1400.0000  160.0000  0.2958E-01  0.6748E+00
 1400.0000  170.0000  0.1064E-01  0.7349E+00
 1400.0000  179.9000  0.3421E-02  0.7567E+00
 1410.0000    0.1000  0.6301E+00  0.2354E+01
 1410.0000   10.0000  0.6277E+00  0.2265E+01
 1410.0000   20.0000  0.6230E+00  0.2022E+01
 1410.0000   30.0000  0.6208E+00  0.1688E+01
 1410.0000   40.0000  0.6221E+00  0.1334E+01
 1410.0000   50.0000  0.6190E+00  0.1017E+01
 1410.0000   60.0000  0.5975E+00  0.7659E+00
 1410.0000   70.0000  0.5457E+00  0.5854E+00
 1410.0000   80.0000  0.4639E+00  0.4657E+00
 1410.0000   90.0000  0.3660E+00  0.3932E+00
 1410.0000  100.0000  0.2722E+00  0.3571E+00
 1410.0000  110.0000  0.1981E+00  0.3529E+00
 1410.0000  120.0000  0.1475E+00  0.3813E+00
 1410.0000  130.0000  0.1138E+00  0.4447E+00
 1410.0000  140.0000  0.8657E-01  0.5397E+00
 1410.0000  150.0000  0.5890E-01  0.6527E+00
 1410.0000  160.0000  0.3086E-01  0.7608E+00
 1410.0000  170.0000  0.8740E-02  0.8386E+00
 1410.0000  179.9000  0.2330E-03  0.8668E+00
 1420.0000    0.1000  0.6951E+00  0.2420E+01
 1420.0000   10.0000  0.6903E+00  0.2325E+01
 1420.0000   20.0000  0.6799E+00  0.2067E+01
 1420.0000   30.0000  0.6713E+00  0.1712E+01
 1420.0000   40.0000  0.6674E+00  0.1338E+01
 1420.0000   50.0000  0.6603E+00  0.1005E+01
 1420.0000   60.0000  0.6340E+00  0.7437E+00
 1420.0000   70.0000  0.5749E+00  0.5575E+00
 1420.0000   80.0000  0.4835E+00  0.4358E+00
 1420.0000   90.0000  0.3764E+00  0.3638E+00
 1420.0000  100.0000  0.2766E+00  0.3303E+00
 1420.0000  110.0000  0.2011E+00  0.3316E+00
 1420.0000  120.0000  0.1526E+00  0.3704E+00
 1420.0000  130.0000  0.1220E+00  0.4507E+00
 1420.0000  140.0000  0.9647E-01  0.5693E+00
 1420.0000  150.0000  0.6797E-01  0.7100E+00
 1420.0000  160.0000  0.3725E-01  0.8445E+00
 1420.0000  170.0000  0.1232E-01  0.9414E+00
 1420.0000  179.9000  0.2637E-02  0.9767E+00
 1430.0000    0.1000  0.7662E+00  0.2506E+01
 1430.0000   10.0000  0.7583E+00  0.2404E+01
 1430.0000   20.0000  0.7399E+00  0.2128E+01
 1430.0000   30.0000  0.7222E+00  0.1750E+01
 1430.0000   40.0000  0.7107E+00  0.1352E+01
 1430.0000   50.0000  0.6979E+00  0.9994E+00
 1430.0000   60.0000  0.6656E+00  0.7242E+00
 1430.0000   70.0000  0.5985E+00  0.5302E+00
 1430.0000   80.0000  0.4973E+00  0.4050E+00
 1430.0000   90.0000  0.3812E+00  0.3322E+00
 1430.0000  100.0000  0.2764E+00  0.3001E+00
 1430.0000  110.0000  0.2011E+00  0.3056E+00
 1430.0000  120.0000  0.1569E+00  0.3537E+00
 1430.0000  130.0000  0.1316E+00  0.4503E+00
 1430.0000  140.0000  0.1098E+00  0.5924E+00
 1430.0000  150.0000  0.8222E-01  0.7611E+00
 1430.0000  160.0000  0.5004E-01  0.9227E+00
 1430.0000  170.0000  0.2305E-01  0.1039E+01
 1430.0000  179.9000  0.1243E-01  0.1082E+01
 1440.0000    0.1000  0.8524E+00  0.2622E+01
 1440.0000   10.0000  0.8401E+00  0.2513E+01
 1440.0000   20.0000  0.8106E+00  0.2215E+01
 1440.0000   30.0000  0.7796E+00  0.1809E+01
 1440.0000   40.0000  0.7567E+00  0.1382E+01
 1440.0000   50.0000  0.7350E+00  0.1005E+01
 1440.0000   60.0000  0.6944E+00  0.7123E+00
 1440.0000   70.0000  0.6176E+00  0.5075E+00
 1440.0000   80.0000  0.5056E+00  0.3766E+00
 1440.0000   90.0000  0.3802E+00  0.3014E+00
 1440.0000  100.0000  0.2712E+00  0.2691E+00
 1440.0000  110.0000  0.1977E+00  0.2775E+00
 1440.0000  120.0000  0.1599E+00  0.3335E+00
 1440.0000  130.0000  0.1425E+00  0.4450E+00
 1440.0000  140.0000  0.1270E+00  0.6096E+00
 1440.0000  150.0000  0.1025E+00  0.8056E+00
 1440.0000  160.0000  0.7063E-01  0.9938E+00
 1440.0000  170.0000  0.4274E-01  0.1130E+01
 1440.0000  179.9000  0.3160E-01  0.1179E+01
 1450.0000    0.1000  0.9661E+00  0.2775E+01
 1450.0000   10.0000  0.9478E+00  0.2657E+01
 1450.0000   20.0000  0.9027E+00  0.2335E+01
 1450.0000   30.0000  0.8527E+00  0.1894E+01
 1450.0000   40.0000  0.8124E+00  0.1433E+01
 1450.0000   50.0000  0.7766E+00  0.1027E+01
 1450.0000   60.0000  0.7236E+00  0.7118E+00
 1450.0000   70.0000  0.6339E+00  0.4927E+00
 1450.0000   80.0000  0.5090E+00  0.3535E+00
 1450.0000   90.0000  0.3736E+00  0.2739E+00
 1450.0000  100.0000  0.2605E+00  0.2399E+00
 1450.0000  110.0000  0.1903E+00  0.2497E+00
 1450.0000  120.0000  0.1612E+00  0.3121E+00
 1450.0000  130.0000  0.1545E+00  0.4371E+00
 1450.0000  140.0000  0.1482E+00  0.6226E+00
 1450.0000  150.0000  0.1297E+00  0.8440E+00
 1450.0000  160.0000  0.1008E+00  0.1057E+01
 1450.0000  170.0000  0.7373E-01  0.1211E+01
 1450.0000  179.9000  0.6269E-01  0.1267E+01
 1460.0000    0.1000  0.1122E+01  0.2966E+01
 1460.0000   10.0000  0.1096E+01  0.2838E+01
 1460.0000   20.0000  0.1030E+01  0.2488E+01
 1460.0000   30.0000  0.9528E+00  0.2010E+01
 1460.0000   40.0000  0.8868E+00  0.1509E+01
 1460.0000   50.0000  0.8291E+00  0.1067E+01
 1460.0000   60.0000  0.7569E+00  0.7256E+00
 1460.0000   70.0000  0.6491E+00  0.4883E+00
 1460.0000   80.0000  0.5078E+00  0.3380E+00
 1460.0000   90.0000  0.3608E+00  0.2519E+00
 1460.0000  100.0000  0.2438E+00  0.2149E+00
 1460.0000  110.0000  0.1782E+00  0.2251E+00
 1460.0000  120.0000  0.1602E+00  0.2929E+00
 1460.0000  130.0000  0.1672E+00  0.4300E+00
 1460.0000  140.0000  0.1738E+00  0.6338E+00
 1460.0000  150.0000  0.1653E+00  0.8771E+00
 1460.0000  160.0000  0.1427E+00  0.1111E+01
 1460.0000  170.0000  0.1191E+00  0.1279E+01
 1460.0000  179.9000  0.1091E+00  0.1340E+01
 1470.0000    0.1000  0.1337E+01  0.3190E+01
 1470.0000   10.0000  0.1300E+01  0.3050E+01
 1470.0000   20.0000  0.1207E+01  0.2672E+01
 1470.0000   30.0000  0.1094E+01  0.2152E+01
 1470.0000   40.0000  0.9911E+00  0.1608E+01
 1470.0000   50.0000  0.9004E+00  0.1127E+01
 1470.0000   60.0000  0.7990E+00  0.7549E+00
 1470.0000   70.0000  0.6652E+00  0.4961E+00
 1470.0000   80.0000  0.5022E+00  0.3319E+00
 1470.0000   90.0000  0.3410E+00  0.2376E+00
 1470.0000  100.0000  0.2200E+00  0.1966E+00
 1470.0000  110.0000  0.1605E+00  0.2073E+00
 1470.0000  120.0000  0.1561E+00  0.2806E+00
 1470.0000  130.0000  0.1802E+00  0.4285E+00
 1470.0000  140.0000  0.2039E+00  0.6470E+00
 1470.0000  150.0000  0.2103E+00  0.9059E+00
 1470.0000  160.0000  0.1992E+00  0.1152E+01
 1470.0000  170.0000  0.1829E+00  0.1329E+01
 1470.0000  179.9000  0.1754E+00  0.1393E+01
 1480.0000    0.1000  0.1628E+01  0.3434E+01
 1480.0000   10.0000  0.1578E+01  0.3284E+01
 1480.0000   20.0000  0.1450E+01  0.2876E+01
 1480.0000   30.0000  0.1291E+01  0.2316E+01
 1480.0000   40.0000  0.1139E+01  0.1727E+01
 1480.0000   50.0000  0.1000E+01  0.1206E+01
 1480.0000   60.0000  0.8553E+00  0.8003E+00
 1480.0000   70.0000  0.6839E+00  0.5168E+00
 1480.0000   80.0000  0.4919E+00  0.3357E+00
 1480.0000   90.0000  0.3135E+00  0.2314E+00
 1480.0000  100.0000  0.1885E+00  0.1869E+00
 1480.0000  110.0000  0.1371E+00  0.2002E+00
 1480.0000  120.0000  0.1489E+00  0.2817E+00
 1480.0000  130.0000  0.1937E+00  0.4408E+00
 1480.0000  140.0000  0.2396E+00  0.6697E+00
 1480.0000  150.0000  0.2673E+00  0.9345E+00
 1480.0000  160.0000  0.2748E+00  0.1181E+01
 1480.0000  170.0000  0.2712E+00  0.1355E+01
 1480.0000  179.9000  0.2684E+00  0.1418E+01
 1490.0000    0.1000  0.2013E+01  0.3575E+01
 1490.0000   10.0000  0.1951E+01  0.3419E+01
 1490.0000   20.0000  0.1789E+01  0.2997E+01
 1490.0000   30.0000  0.1581E+01  0.2415E+01
 1490.0000   40.0000  0.1372E+01  0.1802E+01
 1490.0000   50.0000  0.1174E+01  0.1256E+01
 1490.0000   60.0000  0.9696E+00  0.8263E+00
 1490.0000   70.0000  0.7440E+00  0.5212E+00
 1490.0000   80.0000  0.5085E+00  0.3219E+00
 1490.0000   90.0000  0.3018E+00  0.2049E+00
 1490.0000  100.0000  0.1650E+00  0.1550E+00
 1490.0000  110.0000  0.1158E+00  0.1710E+00
 1490.0000  120.0000  0.1402E+00  0.2602E+00
 1490.0000  130.0000  0.2050E+00  0.4258E+00
 1490.0000  140.0000  0.2764E+00  0.6523E+00
 1490.0000  150.0000  0.3333E+00  0.9017E+00
 1490.0000  160.0000  0.3691E+00  0.1124E+01
 1490.0000  170.0000  0.3868E+00  0.1275E+01
 1490.0000  179.9000  0.3918E+00  0.1328E+01
 1500.0000    0.1000  0.2271E+01  0.3412E+01
 1500.0000   10.0000  0.2203E+01  0.3263E+01
 1500.0000   20.0000  0.2022E+01  0.2859E+01
 1500.0000   30.0000  0.1786E+01  0.2304E+01
 1500.0000   40.0000  0.1541E+01  0.1722E+01
 1500.0000   50.0000  0.1299E+01  0.1206E+01
 1500.0000   60.0000  0.1048E+01  0.8003E+00
 1500.0000   70.0000  0.7768E+00  0.5102E+00
 1500.0000   80.0000  0.5057E+00  0.3180E+00
 1500.0000   90.0000  0.2772E+00  0.2036E+00
 1500.0000  100.0000  0.1317E+00  0.1567E+00
 1500.0000  110.0000  0.8246E-01  0.1781E+00
 1500.0000  120.0000  0.1118E+00  0.2711E+00
 1500.0000  130.0000  0.1862E+00  0.4290E+00
 1500.0000  140.0000  0.2742E+00  0.6260E+00
 1500.0000  150.0000  0.3555E+00  0.8215E+00
 1500.0000  160.0000  0.4195E+00  0.9769E+00
 1500.0000  170.0000  0.4603E+00  0.1071E+01
 1500.0000  179.9000  0.4743E+00  0.1102E+01
 1510.0000    0.1000  0.2429E+01  0.3102E+01
 1510.0000   10.0000  0.2359E+01  0.2965E+01
 1510.0000   20.0000  0.2173E+01  0.2596E+01
 1510.0000   30.0000  0.1924E+01  0.2093E+01
 1510.0000   40.0000  0.1658E+01  0.1569E+01
 1510.0000   50.0000  0.1385E+01  0.1109E+01
 1510.0000   60.0000  0.1094E+01  0.7493E+00
 1510.0000   70.0000  0.7851E+00  0.4901E+00
 1510.0000   80.0000  0.4863E+00  0.3149E+00
 1510.0000   90.0000  0.2448E+00  0.2104E+00
 1510.0000  100.0000  0.9773E-01  0.1742E+00
 1510.0000  110.0000  0.5096E-01  0.2104E+00
 1510.0000  120.0000  0.8206E-01  0.3165E+00
 1510.0000  130.0000  0.1589E+00  0.4710E+00
 1510.0000  140.0000  0.2558E+00  0.6329E+00
 1510.0000  150.0000  0.3564E+00  0.7577E+00
 1510.0000  160.0000  0.4468E+00  0.8231E+00
 1510.0000  170.0000  0.5112E+00  0.8410E+00
 1510.0000  179.9000  0.5348E+00  0.8418E+00
 1520.0000    0.1000  0.2443E+01  0.2669E+01
 1520.0000   10.0000  0.2376E+01  0.2548E+01
 1520.0000   20.0000  0.2198E+01  0.2224E+01
 1520.0000   30.0000  0.1959E+01  0.1787E+01
 1520.0000   40.0000  0.1695E+01  0.1342E+01
 1520.0000   50.0000  0.1414E+01  0.9580E+00
 1520.0000   60.0000  0.1105E+01  0.6620E+00
 1520.0000   70.0000  0.7749E+00  0.4472E+00
 1520.0000   80.0000  0.4623E+00  0.2983E+00
 1520.0000   90.0000  0.2180E+00  0.2095E+00
 1520.0000  100.0000  0.7504E-01  0.1887E+00
 1520.0000  110.0000  0.3100E-01  0.2450E+00
 1520.0000  120.0000  0.5843E-01  0.3699E+00
 1520.0000  130.0000  0.1279E+00  0.5256E+00
 1520.0000  140.0000  0.2218E+00  0.6532E+00
 1520.0000  150.0000  0.3305E+00  0.7033E+00
 1520.0000  160.0000  0.4387E+00  0.6712E+00
 1520.0000  170.0000  0.5215E+00  0.6053E+00
 1520.0000  179.9000  0.5528E+00  0.5729E+00
 1530.0000    0.1000  0.2344E+01  0.2226E+01
 1530.0000   10.0000  0.2282E+01  0.2119E+01
 1530.0000   20.0000  0.2119E+01  0.1835E+01
 1530.0000   30.0000  0.1900E+01  0.1460E+01
 1530.0000   40.0000  0.1657E+01  0.1090E+01
 1530.0000   50.0000  0.1389E+01  0.7822E+00
 1530.0000   60.0000  0.1084E+01  0.5525E+00
 1530.0000   70.0000  0.7527E+00  0.3858E+00
 1530.0000   80.0000  0.4400E+00  0.2661E+00
 1530.0000   90.0000  0.2014E+00  0.1947E+00
 1530.0000  100.0000  0.6649E-01  0.1896E+00
 1530.0000  110.0000  0.2542E-01  0.2664E+00
 1530.0000  120.0000  0.4602E-01  0.4123E+00
 1530.0000  130.0000  0.1014E+00  0.5748E+00
 1530.0000  140.0000  0.1826E+00  0.6777E+00
 1530.0000  150.0000  0.2875E+00  0.6657E+00
 1530.0000  160.0000  0.4022E+00  0.5486E+00
 1530.0000  170.0000  0.4951E+00  0.4083E+00
 1530.0000  179.9000  0.5311E+00  0.3462E+00
 1540.0000    0.1000  0.2205E+01  0.1864E+01
 1540.0000   10.0000  0.2146E+01  0.1765E+01
 1540.0000   20.0000  0.1991E+01  0.1506E+01
 1540.0000   30.0000  0.1791E+01  0.1174E+01
 1540.0000   40.0000  0.1574E+01  0.8596E+00
 1540.0000   50.0000  0.1331E+01  0.6138E+00
 1540.0000   60.0000  0.1045E+01  0.4410E+00
 1540.0000   70.0000  0.7249E+00  0.3178E+00
 1540.0000   80.0000  0.4212E+00  0.2251E+00
 1540.0000   90.0000  0.1930E+00  0.1689E+00
 1540.0000  100.0000  0.6815E-01  0.1765E+00
 1540.0000  110.0000  0.3101E-01  0.2704E+00
 1540.0000  120.0000  0.4489E-01  0.4366E+00
 1540.0000  130.0000  0.8444E-01  0.6110E+00
 1540.0000  140.0000  0.1478E+00  0.7024E+00
 1540.0000  150.0000  0.2409E+00  0.6480E+00
 1540.0000  160.0000  0.3528E+00  0.4679E+00
 1540.0000  170.0000  0.4482E+00  0.2701E+00
 1540.0000  179.9000  0.4860E+00  0.1847E+00
 1550.0000    0.1000  0.2091E+01  0.1617E+01
 1550.0000   10.0000  0.2029E+01  0.1521E+01
 1550.0000   20.0000  0.1871E+01  0.1270E+01
 1550.0000   30.0000  0.1676E+01  0.9564E+00
 1550.0000   40.0000  0.1477E+01  0.6734E+00
 1550.0000   50.0000  0.1260E+01  0.4697E+00
 1550.0000   60.0000  0.9977E+00  0.3408E+00
 1550.0000   70.0000  0.6950E+00  0.2537E+00
 1550.0000   80.0000  0.4043E+00  0.1839E+00
 1550.0000   90.0000  0.1884E+00  0.1393E+00
 1550.0000  100.0000  0.7501E-01  0.1552E+00
 1550.0000  110.0000  0.4386E-01  0.2619E+00
 1550.0000  120.0000  0.5353E-01  0.4465E+00
 1550.0000  130.0000  0.7871E-01  0.6370E+00
 1550.0000  140.0000  0.1232E+00  0.7287E+00
 1550.0000  150.0000  0.2004E+00  0.6500E+00
 1550.0000  160.0000  0.3036E+00  0.4266E+00
 1550.0000  170.0000  0.3965E+00  0.1867E+00
 1550.0000  179.9000  0.4343E+00  0.8388E-01
 1560.0000    0.1000  0.2045E+01  0.1484E+01
 1560.0000   10.0000  0.1973E+01  0.1384E+01
 1560.0000   20.0000  0.1794E+01  0.1124E+01
 1560.0000   30.0000  0.1585E+01  0.8063E+00
 1560.0000   40.0000  0.1390E+01  0.5328E+00
 1560.0000   50.0000  0.1191E+01  0.3533E+00
 1560.0000   60.0000  0.9496E+00  0.2567E+00
 1560.0000   70.0000  0.6647E+00  0.1992E+00
 1560.0000   80.0000  0.3876E+00  0.1484E+00
 1560.0000   90.0000  0.1848E+00  0.1119E+00
 1560.0000  100.0000  0.8460E-01  0.1319E+00
 1560.0000  110.0000  0.6251E-01  0.2474E+00
 1560.0000  120.0000  0.7166E-01  0.4492E+00
 1560.0000  130.0000  0.8531E-01  0.6592E+00
 1560.0000  140.0000  0.1116E+00  0.7602E+00
 1560.0000  150.0000  0.1711E+00  0.6704E+00
 1560.0000  160.0000  0.2626E+00  0.4171E+00
 1560.0000  170.0000  0.3502E+00  0.1451E+00
 1560.0000  179.9000  0.3866E+00  0.2847E-01
 1570.0000    0.1000  0.2093E+01  0.1451E+01
 1570.0000   10.0000  0.2003E+01  0.1340E+01
 1570.0000   20.0000  0.1785E+01  0.1056E+01
 1570.0000   30.0000  0.1538E+01  0.7144E+00
 1570.0000   40.0000  0.1326E+01  0.4311E+00
 1570.0000   50.0000  0.1132E+01  0.2613E+00
 1570.0000   60.0000  0.9056E+00  0.1884E+00
 1570.0000   70.0000  0.6354E+00  0.1564E+00
 1570.0000   80.0000  0.3710E+00  0.1221E+00
 1570.0000   90.0000  0.1818E+00  0.9061E-01
 1570.0000  100.0000  0.9710E-01  0.1107E+00
 1570.0000  110.0000  0.8784E-01  0.2318E+00
 1570.0000  120.0000  0.1006E+00  0.4502E+00
 1570.0000  130.0000  0.1058E+00  0.6834E+00
 1570.0000  140.0000  0.1151E+00  0.8008E+00
 1570.0000  150.0000  0.1563E+00  0.7081E+00
 1570.0000  160.0000  0.2342E+00  0.4323E+00
 1570.0000  170.0000  0.3149E+00  0.1330E+00
 1570.0000  179.9000  0.3494E+00  0.4124E-02
 1580.0000    0.1000  0.2254E+01  0.1505E+01
 1580.0000   10.0000  0.2139E+01  0.1379E+01
 1580.0000   20.0000  0.1859E+01  0.1056E+01
 1580.0000   30.0000  0.1548E+01  0.6720E+00
 1580.0000   40.0000  0.1296E+01  0.3615E+00
 1580.0000   50.0000  0.1090E+01  0.1894E+00
 1580.0000   60.0000  0.8695E+00  0.1344E+00
 1580.0000   70.0000  0.6091E+00  0.1259E+00
 1580.0000   80.0000  0.3554E+00  0.1068E+00
 1580.0000   90.0000  0.1803E+00  0.7770E-01
 1580.0000  100.0000  0.1138E+00  0.9418E-01
 1580.0000  110.0000  0.1216E+00  0.2180E+00
 1580.0000  120.0000  0.1424E+00  0.4535E+00
 1580.0000  130.0000  0.1422E+00  0.7138E+00
 1580.0000  140.0000  0.1357E+00  0.8536E+00
 1580.0000  150.0000  0.1583E+00  0.7632E+00
 1580.0000  160.0000  0.2218E+00  0.4679E+00
 1580.0000  170.0000  0.2947E+00  0.1419E+00
 1580.0000  179.9000  0.3269E+00  0.9070E-03
 1590.0000    0.1000  0.2544E+01  0.1645E+01
 1590.0000   10.0000  0.2394E+01  0.1498E+01
 1590.0000   20.0000  0.2029E+01  0.1121E+01
 1590.0000   30.0000  0.1625E+01  0.6748E+00
 1590.0000   40.0000  0.1306E+01  0.3197E+00
 1590.0000   50.0000  0.1071E+01  0.1344E+00
 1590.0000   60.0000  0.8443E+00  0.9311E-01
 1590.0000   70.0000  0.5877E+00  0.1080E+00
 1590.0000   80.0000  0.3421E+00  0.1040E+00
 1590.0000   90.0000  0.1813E+00  0.7471E-01
 1590.0000  100.0000  0.1357E+00  0.8349E-01
 1590.0000  110.0000  0.1649E+00  0.2074E+00
 1590.0000  120.0000  0.1981E+00  0.4609E+00
 1590.0000  130.0000  0.1959E+00  0.7531E+00
 1590.0000  140.0000  0.1751E+00  0.9208E+00
 1590.0000  150.0000  0.1793E+00  0.8363E+00
 1590.0000  160.0000  0.2279E+00  0.5214E+00
 1590.0000  170.0000  0.2925E+00  0.1671E+00
 1590.0000  179.9000  0.3224E+00  0.1288E-01
 1600.0000    0.1000  0.2972E+01  0.1877E+01
 1600.0000   10.0000  0.2778E+01  0.1701E+01
 1600.0000   20.0000  0.2303E+01  0.1253E+01
 1600.0000   30.0000  0.1775E+01  0.7234E+00
 1600.0000   40.0000  0.1361E+01  0.3047E+00
 1600.0000   50.0000  0.1075E+01  0.9472E-01
